ac_number,constituency,party_21,vote_pct_21,region,reserved,party_26,vote_pct_26,margin,flipped,vote_pct_diff,rank
174,Thanjavur,DMK,53.79,Delta,GEN,TVK,44.4,16955,True,9.39,72
178,Gandharvakottai,CPI(M),44.62,Delta,SC,TVK,35.31,11039,True,9.31,73
163,Nagapattinam,VCK,46.46,Delta,GEN,DMK,37.33,9781,True,9.13,74
228,Radhapuram,DMK,44.17,South,GEN,TVK,35.07,12313,True,9.1,75
68,Cheyyar,DMK,48.2,North,GEN,AIADMK,39.11,21081,True,9.09,76
10,Thiruvottiyur,DMK,44.34,Chennai Metro,GEN,TVK,53.36,53564,True,9.02,77
126,Madathukulam,AIADMK,46.62,Kongu,GEN,DMK,37.61,15968,True,9.01,78
49,Jolarpet,DMK,45.89,North,GEN,AIADMK,37.03,16083,True,8.86,79
43,Vellore,DMK,47.24,North,GEN,TVK,38.48,6777,True,8.76,80
41,Ranipet,DMK,50.18,North,GEN,TVK,41.46,5787,True,8.72,81
183,Arantangi,INC,48.85,Delta,GEN,TVK,40.21,10062,True,8.64,82
20,Thousand Lights,DMK,53.41,Chennai Metro,GEN,TVK,45.01,15141,True,8.4,83
115,Palladam,AIADMK,48.86,Kongu,GEN,TVK,40.49,37897,True,8.37,84
184,Karaikudi,INC,35.98,South,GEN,TVK,44.31,46074,True,8.33,85
55,Hosur,DMK,48.04,North,GEN,AIADMK,39.78,27803,True,8.26,86
153,Neyveli,DMK,46.13,Central,GEN,AIADMK,37.93,10962,True,8.2,87
200,Bodinayakanur,AIADMK,46.89,South,GEN,DMK,38.78,6805,True,8.11,88
189,Madurai East,DMK,52.02,South,GEN,TVK,43.93,16547,True,8.09,89
37,Kancheepuram,DMK,45.27,North,GEN,TVK,37.25,15488,True,8.02,90
222,Tenkasi,INC,41.94,South,GEN,DMK,34.01,10299,True,7.93,91
210,Tiruvadanai,INC,39.48,South,GEN,TVK,31.63,2513,True,7.85,92
206,Virudhunagar,DMK,45.77,South,GEN,TVK,38.14,9391,True,7.63,93
150,Jayankondam,DMK,46.4,Central,GEN,PMK,39.01,18490,True,7.39,94
205,Sivakasi,INC,43.07,South,GEN,TVK,35.68,11670,True,7.39,95
196,Thirumangalam,AIADMK,45.71,South,GEN,DMK,38.38,23807,True,7.33,96
85,Mettur,PMK,44.89,Central,GEN,AIADMK,37.56,19105,True,7.33,97
139,Srirangam,DMK,47.89,Delta,GEN,TVK,40.63,33590,True,7.26,98
221,Kadayanallur,AIADMK,43.3,South,GEN,DMK,36.05,6253,True,7.25,99
