constituency,candidate,party,votes,runner_votes,margin,region,category
Athoor,PERIYASAMY I,DMK,165809,30238,135571,South,Top 5
Tiruvannamalai,E V VELU,DMK,137876,43203,94673,North,Top 5
Poonamallee,Krishnaswamy A,DMK,149578,55468,94110,Chennai Metro,Top 5
Edapadi,EDAPPADI PALANISWAMI. K,AIADMK,163154,69352,93802,Central,Top 5
Tiruchirapalli (West),"Nehru, K.N.",DMK,118133,33024,85109,Delta,Top 5
Theayagaraya Nagar,KARUNANITHI J,DMK,56035,55898,137,Chennai Metro,Bottom 5
Modakurichi,SARASWATHI.C,BJP,78125,77844,281,Kongu,Bottom 5
Tenkasi,PALANI NADAR.S,INC,89315,88945,370,South,Bottom 5
Mettur,SADHASIVAM.S,PMK,97055,96399,656,Central,Bottom 5
Katpadi,DURAIMURUGAN,DMK,85140,84394,746,North,Bottom 5
