party_grp,2021,2026,swing
AIADMK,33.29,21.21,-12.08
BJP,2.62,2.97,0.35
CPI,1.09,0.66,-0.43
CPI(M),0.85,0.6,-0.25
DMK,37.7,24.19,-13.51
INC,4.27,3.37,-0.9
NOTA,0.75,0.41,-0.34
NTK,6.58,4.0,-2.58
Others,8.06,4.41,-3.65
PMK,3.8,2.17,-1.63
TVK,,34.92,
VCK,0.99,1.09,0.1
