ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes,vote_share,region,reserved
29,SRIPERUMBUDUR,M. Sindhu Ezhilarasan,NTK,S,13150.0,FD,331155.0,329927.0,3.99,Chennai Metro,SC
29,SRIPERUMBUDUR,J. Nithya,IND,IND,176.0,FD,331155.0,329927.0,0.05,Chennai Metro,SC
29,SRIPERUMBUDUR,G. Rajathi,IND,IND,211.0,FD,331155.0,329927.0,0.06,Chennai Metro,SC
30,PALLAVARAM,N.bharathi,BSP,N,562.0,FD,283768.0,282075.0,0.2,Chennai Metro,GEN
30,PALLAVARAM,J.kamatchi,TVK,U,133611.0,W,283768.0,282075.0,47.37,Chennai Metro,GEN
30,PALLAVARAM,B.rajeswari,NADLMMKLK,U,443.0,FD,283768.0,282075.0,0.16,Chennai Metro,GEN
31,TAMBARAM,R.s.kiruthika Devi,DMK,S,83346.0,L,279036.0,277297.0,30.06,Chennai Metro,GEN
31,TAMBARAM,S.tamilchelvi,NTK,S,11627.0,FD,279036.0,277297.0,4.19,Chennai Metro,GEN
32,CHENGALPATTU,Amutha. N,NTK,S,12032.0,FD,324093.0,322615.0,3.73,Chennai Metro,GEN
34,CHEYYUR,Swathilakshmi Sekar,NTK,S,4853.0,FD,188026.0,186801.0,2.6,North,SC
35,MADURANTAKAM,S.amulu Ponmalar,DMK,S,59838.0,L,198551.0,197454.0,30.3,North,SC
35,MADURANTAKAM,Maragatham Kumaravel.k,ADMK,S,69284.0,W,198551.0,197454.0,35.09,North,SC
35,MADURANTAKAM,Ezhil Katharine Ezhilmalai,TVK,U,62090.0,L,198551.0,197454.0,31.45,North,SC
35,MADURANTAKAM,Ranjitham.m,IND,IND,357.0,FD,198551.0,197454.0,0.18,North,SC
36,UTHIRAMERUR,Maheswari.j,IND,IND,212.0,FD,228219.0,226651.0,0.09,North,GEN
37,KANCHEEPURAM,Nithya Sugumar,DMK,S,69344.0,L,246886.0,245239.0,28.28,North,GEN
37,KANCHEEPURAM,Vetriselvi,NTK,S,6950.0,FD,246886.0,245239.0,2.83,North,GEN
38,ARAKKONAM,Ezhil Caroline,VCK,S,50655.0,L,182493.0,181441.0,27.92,North,SC
40,KATPADI,Indu .w,TMMDK,U,319.0,FD,204355.0,202752.0,0.16,North,GEN
41,RANIPET,Thaarikha Salman,NTK,S,7236.0,FD,221259.0,219829.0,3.29,North,GEN
41,RANIPET,J.jeniferjanet,BSP,N,620.0,FD,221259.0,219829.0,0.28,North,GEN
41,RANIPET,Thahira,TVK,U,91149.0,W,221259.0,219829.0,41.46,North,GEN
42,ARCOT,Archana Narasimman,NTK,S,5518.0,FD,226005.0,225130.0,2.45,North,GEN
42,ARCOT,R.indhumathi,IND,IND,58.0,FD,226005.0,225130.0,0.03,North,GEN
42,ARCOT,V.shanthi,IND,IND,113.0,FD,226005.0,225130.0,0.05,North,GEN
43,VELLORE,A.soniya,NTK,S,3793.0,FD,190573.0,189770.0,2.0,North,GEN
43,VELLORE,K.vimala,NIDP,U,195.0,FD,190573.0,189770.0,0.1,North,GEN
45,KILVAITHINANKUPPAM,Dr. Rajeswari. R,DMK,S,53898.0,L,190379.0,188920.0,28.53,North,SC
45,KILVAITHINANKUPPAM,Kalaiyenthiri. R,NTK,S,5183.0,FD,190379.0,188920.0,2.74,North,SC
46,GUDIYATTAM,Paritha Purushothaman.g,ADMK,S,64122.0,L,229252.0,228277.0,28.09,North,SC
46,GUDIYATTAM,K.asha,PT,U,383.0,FD,229252.0,228277.0,0.17,North,SC
46,GUDIYATTAM,K.sindu,TVK,U,82858.0,W,229252.0,228277.0,36.3,North,SC
46,GUDIYATTAM,K.thabithal,AIPTMMK,U,351.0,FD,229252.0,228277.0,0.15,North,SC
46,GUDIYATTAM,M.sumathi,IND,IND,157.0,FD,229252.0,228277.0,0.07,North,SC
47,VANIYAMBADI,Sundarammal,MKARSKTC,U,544.0,FD,212624.0,211910.0,0.26,North,GEN
48,AMBUR,Afshia Nasrin. S,NTK,S,4185.0,FD,195785.0,195116.0,2.14,North,GEN
48,AMBUR,Sasi Reka. Y,MKARSKTC,U,194.0,FD,195785.0,195116.0,0.1,North,GEN
49,JOLARPET,Kavithadhandapani,DMK,S,61977.0,L,213582.0,212347.0,29.19,North,GEN
49,JOLARPET,Sasirekha K,NTK,S,5974.0,FD,213582.0,212347.0,2.81,North,GEN
49,JOLARPET,Sasi Reka Y,MKARSKTC,U,270.0,FD,213582.0,212347.0,0.13,North,GEN
49,JOLARPET,Kavitha C,IND,IND,155.0,FD,213582.0,212347.0,0.07,North,GEN
49,JOLARPET,Kavitha T,IND,IND,76.0,FD,213582.0,212347.0,0.04,North,GEN
49,JOLARPET,Kamatchi S,IND,IND,128.0,FD,213582.0,212347.0,0.06,North,GEN
49,JOLARPET,Priya K,IND,IND,454.0,FD,213582.0,212347.0,0.21,North,GEN
50,TIRUPPATTUR,Anjali. M,IND,IND,115.0,FD,203263.0,202461.0,0.06,North,GEN
50,TIRUPPATTUR,Dr.poovalagi. P,IND,IND,139.0,FD,203263.0,202461.0,0.07,North,GEN
51,UTHANGARAI,Mekala,NTK,S,6629.0,FD,205745.0,204649.0,3.24,North,SC
51,UTHANGARAI,Rameshwari,BHRTJNCKP,U,115.0,FD,205745.0,204649.0,0.06,North,SC
51,UTHANGARAI,Vijiyal,AJPK,U,206.0,FD,205745.0,204649.0,0.1,North,SC
