ac_number,male_t,female_t,gap,winning_party,wp,constituency,region,reserved
82,89.01,91.24,2.23,AIADMK,AIADMK,Attur,Central,SC
83,91.78,92.15,0.37,AIADMK,AIADMK,Yercaud,Central,ST
84,90.75,90.91,0.16,AIADMK,AIADMK,Omalur,Central,GEN
85,88.63,89.66,1.03,AIADMK,AIADMK,Mettur,Central,GEN
86,92.04,92.07,0.03,AIADMK,AIADMK,Edapadi,Central,GEN
87,92.38,92.67,0.29,AIADMK,AIADMK,Sankari,Central,GEN
88,90.02,89.98,-0.04,TVK,TVK,Salem (West),Central,GEN
89,87.79,87.02,-0.77,TVK,TVK,Salem (North),Central,GEN
90,90.89,91.14,0.25,TVK,TVK,Salem (South),Central,GEN
91,93.07,93.63,0.56,TVK,TVK,Veerapandi,Central,GEN
92,89.96,91.14,1.18,TVK,TVK,Rasipuram,Central,SC
93,88.88,91.29,2.41,TVK,TVK,Sendamangalam,Central,ST
94,85.75,89.46,3.71,TVK,TVK,Namakkal,Central,GEN
95,87.95,92.23,4.28,AIADMK,AIADMK,Paramathi-Velur,Central,GEN
96,88.96,91.07,2.11,TVK,TVK,Tiruchengode,Central,GEN
97,92.38,92.81,0.43,TVK,TVK,Kumarapalayam,Central,GEN
98,90.13,89.47,-0.66,TVK,TVK,Erode (East),Kongu,GEN
99,87.95,88.0,0.05,TVK,TVK,Erode (West),Kongu,GEN
100,90.82,89.88,-0.94,TVK,TVK,Modakurichi,Kongu,GEN
101,89.22,88.47,-0.75,AIADMK,AIADMK,Dharapuram,Kongu,SC
102,92.26,90.93,-1.33,AIADMK,AIADMK,Kangayam,Kongu,GEN
103,93.26,91.72,-1.54,AIADMK,AIADMK,Perundurai,Kongu,GEN
104,92.03,91.77,-0.26,AIADMK,AIADMK,Bhavani,Kongu,GEN
105,88.76,87.68,-1.08,AIADMK,AIADMK,Anthiyur,Kongu,GEN
106,91.51,89.93,-1.58,TVK,TVK,Gobichettipalayam,Kongu,GEN
107,90.01,88.75,-1.26,TVK,TVK,Bhavanisagar,Kongu,SC
108,78.78,76.42,-2.36,BJP,BJP,Udhagamandalam,Kongu,GEN
109,79.78,81.73,1.95,DMK,DMK,Gudalur,Kongu,SC
110,79.44,77.27,-2.17,DMK,DMK,Coonoor,Kongu,GEN
111,86.03,85.81,-0.22,TVK,TVK,Mettupalayam,Kongu,GEN
112,91.42,89.78,-1.64,TVK,TVK,Avanashi,Kongu,SC
113,83.24,82.75,-0.49,TVK,TVK,Tiruppur (North),Kongu,GEN
114,91.45,89.93,-1.52,TVK,TVK,Tiruppur (South),Kongu,GEN
