ac_number,constituency,party,party_canonical,candidate,votes,runner_votes,total_valid,vote_pct,winner_pct,margin,margin_pct,region,reserved,year
19,Chepauk-Thiruvallikeni,DMK,DMK,UDHAYANIDHI STALIN,62992,55852,140098,44.96,44.96,7140,5.1,Chennai Metro,GEN,2026
20,Thousand Lights,TVK,TVK,PRABHAKAR.J.C.D,58965,43824,131009,45.01,45.01,15141,11.56,Chennai Metro,GEN,2026
21,Anna Nagar,TVK,TVK,V.K.RAMKUMAR,71375,50012,162376,43.96,43.96,21363,13.16,Chennai Metro,GEN,2026
22,Virugampakkam,TVK,TVK,SABARINATHAN.R,76092,49006,171801,44.29,44.29,27086,15.77,Chennai Metro,GEN,2026
23,Saidapet,TVK,TVK,ARUL PRAKASAM. M,81205,52691,159477,50.92,50.92,28514,17.88,Chennai Metro,GEN,2026
24,Thiyagarayanagar,TVK,TVK,ANAND N,51632,38605,133050,38.81,38.81,13027,9.79,Chennai Metro,GEN,2026
25,Mylapore,TVK,TVK,VENKATARAMANAN. P,70070,41098,149824,46.77,46.77,28972,19.34,Chennai Metro,GEN,2026
26,Velachery,TVK,TVK,KUMAR. R,80430,47125,183479,43.84,43.84,33305,18.15,Chennai Metro,GEN,2026
27,Shozhinganallur,TVK,TVK,ECR P SARAVANAN,220382,123602,445216,49.5,49.5,96780,21.74,Chennai Metro,GEN,2026
28,Alandur,TVK,TVK,M.HARISH,112205,82596,260307,43.1,43.1,29609,11.37,Chennai Metro,GEN,2026
29,Sriperumbudur,TVK,TVK,THENNARASU.K,147611,93365,329927,44.74,44.74,54246,16.44,Chennai Metro,SC,2026
30,Pallavaram,TVK,TVK,J.KAMATCHI,133611,78918,282075,47.37,47.37,54693,19.39,Chennai Metro,GEN,2026
31,Tambaram,TVK,TVK,D.SARATHKUMAR,118967,83346,277297,42.9,42.9,35621,12.85,Chennai Metro,GEN,2026
32,Chengalpattu,TVK,TVK,S. THIYAGARAJAN,137136,101495,322615,42.51,42.51,35641,11.05,Chennai Metro,GEN,2026
33,Thiruporur,TVK,TVK,B.VIJAYARAJ,110095,70744,261161,42.16,42.16,39351,15.07,North,GEN,2026
34,Cheyyur,AIADMK,AIADMK,RAJASEKAR. E,63809,58141,186801,34.16,34.16,5668,3.03,North,SC,2026
35,Madurantakam,AIADMK,AIADMK,MARAGATHAM KUMARAVEL.K,69284,62090,197454,35.09,35.09,7194,3.64,North,SC,2026
36,Uthiramerur,TVK,TVK,MUNIRATHINAM.J,84917,70694,226651,37.47,37.47,14223,6.28,North,GEN,2026
37,Kancheepuram,TVK,TVK,R.V. RANJITHKUMAR,91350,75862,245239,37.25,37.25,15488,6.32,North,GEN,2026
38,Arakkonam,TVK,TVK,V. GANDHIRAJ,73776,50655,181441,40.66,40.66,23121,12.74,North,SC,2026
39,Sholingur,TVK,TVK,G.KAPIL,84506,78820,233112,36.25,36.25,5686,2.44,North,GEN,2026
40,Katpadi,TVK,TVK,DR M SUDHAKAR,69868,63998,202752,34.46,34.46,5870,2.9,North,GEN,2026
41,Ranipet,TVK,TVK,THAHIRA,91149,85362,219829,41.46,41.46,5787,2.63,North,GEN,2026
42,Arcot,AIADMK,AIADMK,S.M.SUKUMAR,105608,62888,225130,46.91,46.91,42720,18.98,North,GEN,2026
43,Vellore,TVK,TVK,M.M.VINOTH KANNAN,73032,66255,189770,38.48,38.48,6777,3.57,North,GEN,2026
44,Anaikattu,AIADMK,AIADMK,D.VELAZHAGAN,76302,69221,215215,35.45,35.45,7081,3.29,North,GEN,2026
45,Kilvaithinankuppam,TVK,TVK,THENRAL KUMAR. E,74305,54050,188920,39.33,39.33,20255,10.72,North,SC,2026
46,Gudiyattam,TVK,TVK,K.SINDU,82858,72761,228277,36.3,36.3,10097,4.42,North,SC,2026
47,Vaniyambadi,IUML,IUML,SYED FAROOQ BASHA SSB,73181,70199,211910,34.53,34.53,2982,1.41,North,GEN,2026
48,Ambur,DMK,DMK,VILWANATHAN. A.C.,74102,66971,195116,37.98,37.98,7131,3.65,North,GEN,2026
49,Jolarpet,AIADMK,AIADMK,VEERAMANI K.C.,78633,62550,212347,37.03,37.03,16083,7.57,North,GEN,2026
50,Tiruppattur,TVK,TVK,DR.THIRUPATHI. N,105098,56835,202461,51.91,51.91,48263,23.84,North,GEN,2026
51,Uthangarai,TVK,TVK,N ELAIYARAJA,70201,65003,204649,34.3,34.3,5198,2.54,North,SC,2026
52,Bargur,AIADMK,AIADMK,E.C. GOVINDARASAN,71240,66999,213329,33.39,33.39,4241,1.99,North,GEN,2026
53,Krishnagiri,TVK,TVK,MUKUNDHAN.P,89374,70530,229045,39.02,39.02,18844,8.23,North,GEN,2026
54,Veppanahalli,DMK,DMK,SRINIVASAN.P.S,74691,74553,221038,33.79,33.79,138,0.06,North,GEN,2026
55,Hosur,AIADMK,AIADMK,BALAKRISHNAREDDY. P,109867,82064,276156,39.78,39.78,27803,10.07,North,GEN,2026
56,Thalli,CPI,CPI,RAMACHANDRAN. T,78283,73043,204328,38.31,38.31,5240,2.56,North,GEN,2026
57,Palacodu,AIADMK,AIADMK,ANBALAGAN. K.P.,102807,63765,223965,45.9,45.9,39042,17.43,North,GEN,2026
58,Pennagaram,TVK,TVK,GAJENDRAN. S.,81240,78075,227992,35.63,35.63,3165,1.39,North,GEN,2026
59,Dharmapuri,PMK,PMK,SOWMIYA ANBUMANI,93713,72817,237638,39.44,39.44,20896,8.79,North,GEN,2026
60,Pappireddipatti,AIADMK,AIADMK,MARAGATHAM VETRIVEL,101829,68715,235944,43.16,43.16,33114,14.03,North,GEN,2026
61,Harur,AIADMK,AIADMK,SAMPATHKUMAR. V,75523,72194,219260,34.44,34.44,3329,1.52,North,SC,2026
62,Chengam,AIADMK,AIADMK,S.VELU,87802,74524,241783,36.31,36.31,13278,5.49,North,SC,2026
63,Tiruvannamalai,DMK,DMK,VELU. E.V,88273,85818,219281,40.26,40.26,2455,1.12,North,GEN,2026
64,Kilpennathur,AIADMK,AIADMK,RAMACHANDRAN.S,90503,60038,219350,41.26,41.26,30465,13.89,North,GEN,2026
65,Kalasapakkam,AIADMK,AIADMK,AGRI KRISHNAMURTHY. S S,89629,62889,213704,41.94,41.94,26740,12.51,North,GEN,2026
66,Polur,TVK,TVK,ABISHEK. R,67961,67734,210945,32.22,32.22,227,0.11,North,GEN,2026
67,Arani,AIADMK,AIADMK,JAYASUDHA. L,76735,71104,229455,33.44,33.44,5631,2.45,North,GEN,2026
68,Cheyyar,AIADMK,AIADMK,MUKKUR N. SUBRAMANIAN,86680,65599,221620,39.11,39.11,21081,9.51,North,GEN,2026
69,Vandavasi,DMK,DMK,AMBETHKUMAR. S,63805,60472,190216,33.54,33.54,3333,1.75,North,SC,2026
70,Gingee,PMK,PMK,GANESHKUMAR A,78201,65556,216144,36.18,36.18,12645,5.85,Central,GEN,2026
71,Mailam,AIADMK,AIADMK,SHANMUGAM C VE,82353,52312,188922,43.59,43.59,30041,15.9,Central,GEN,2026
72,Tindivanam,VCK,VCK,VANNI ARASU,63833,63099,195312,32.68,32.68,734,0.38,Central,SC,2026
73,Vanur,DMK,DMK,GOWTHAM D,68873,61839,191600,35.95,35.95,7034,3.67,Central,SC,2026
74,Viluppuram,DMK,DMK,LAKSHMANAN R,72982,68863,214849,33.97,33.97,4119,1.92,Central,GEN,2026
75,Vikravandi,PMK,PMK,SIVAKUMAR C,69727,68817,208830,33.39,33.39,910,0.44,Central,GEN,2026
76,Tirukkoyilur,AIADMK,AIADMK,PALANISAMY S,73033,72748,216818,33.68,33.68,285,0.13,Central,GEN,2026
77,Ulundurpettai,DMK,DMK,VASANTHAVEL G R,98471,96194,269951,36.48,36.48,2277,0.84,Central,GEN,2026
78,Rishivandiyam,DMK,DMK,KARTHIKEYAN K,89711,84849,244261,36.73,36.73,4862,1.99,Central,GEN,2026
79,Sankarapuram,AIADMK,AIADMK,RAKESH R,80250,76810,235145,34.13,34.13,3440,1.46,Central,GEN,2026
80,Kallakurichi,TVK,TVK,ARUL VIGNESH C,81132,80334,248743,32.62,32.62,798,0.32,Central,SC,2026
81,Gangavalli,AIADMK,AIADMK,NALLATHAMBI. A,73167,58763,195948,37.34,37.34,14404,7.35,Central,SC,2026
82,Attur,AIADMK,AIADMK,JAYASANKARAN. A.P.,80843,65525,207265,39.0,39.0,15318,7.39,Central,SC,2026
83,Yercaud,AIADMK,AIADMK,USHARANI. P,87772,85583,252342,34.78,34.78,2189,0.87,Central,ST,2026
84,Omalur,AIADMK,AIADMK,MANI. R,112246,97707,269686,41.62,41.62,14539,5.39,Central,GEN,2026
85,Mettur,AIADMK,AIADMK,VENKATACHALAM. G,86498,67393,230311,37.56,37.56,19105,8.3,Central,GEN,2026
86,Edappadi,AIADMK,AIADMK,EDAPPADI PALANISWAMI. K,148933,50823,256922,57.97,57.97,98110,38.19,Central,GEN,2026
87,Sankari,AIADMK,AIADMK,VETRIVEL. S,87342,77825,243068,35.93,35.93,9517,3.92,Central,GEN,2026
88,Salem (West),TVK,TVK,LAKSHMANAN.S,120407,45540,233355,51.6,51.6,74867,32.08,Central,GEN,2026
89,Salem (North),TVK,TVK,SIVAKUMAR. K,85710,71676,209507,40.91,40.91,14034,6.7,Central,GEN,2026
90,Salem (South),TVK,TVK,VIJAY TAMILAN PARTHIBAN. A,91371,58002,207157,44.11,44.11,33369,16.11,Central,GEN,2026
91,Veerapandi,TVK,TVK,PALANIVEL. M.S,79907,75836,235281,33.96,33.96,4071,1.73,Central,GEN,2026
92,Rasipuram,TVK,TVK,LOGESH TAMILSELVAN D,74808,60297,203817,36.7,36.7,14511,7.12,Central,SC,2026
93,Senthamangalam,TVK,TVK,P CHANDRASEKAR,68815,66160,208476,33.01,33.01,2655,1.27,Central,ST,2026
94,Namakkal,TVK,TVK,DILIP C S,79744,68736,211523,37.7,37.7,11008,5.2,Central,GEN,2026
95,Paramathi-Velur,AIADMK,AIADMK,SEKAR S,61349,61041,188396,32.56,32.56,308,0.16,Central,GEN,2026
96,Tiruchengodu,TVK,TVK,ARUNRAJ K G,79500,51328,190602,41.71,41.71,28172,14.78,Central,GEN,2026
97,Kumarapalayam,TVK,TVK,C.VIJAYALAKSHMI,81179,73483,204659,39.67,39.67,7696,3.76,Central,GEN,2026
98,Erode (East),TVK,TVK,M.VIJAY BALAJI,69747,45781,161574,43.17,43.17,23966,14.83,Kongu,GEN,2026
99,Erode (West),TVK,TVK,ANANTH MOGHAN K.K.,96836,74586,220143,43.99,43.99,22250,10.11,Kongu,GEN,2026
100,Modakkurichi,TVK,TVK,D.SHANMUGAN,60715,58285,189834,31.98,31.98,2430,1.28,Kongu,GEN,2026
101,Dharapuram,AIADMK,AIADMK,SATHYABAMA.P,81100,64373,198886,40.78,40.78,16727,8.41,Kongu,SC,2026
102,Kangayam,AIADMK,AIADMK,NSN NATARAJ,71122,62989,202828,35.07,35.07,8133,4.01,Kongu,GEN,2026
103,Perundurai,AIADMK,AIADMK,JAYAKUMAR. S,70302,60609,199874,35.17,35.17,9693,4.85,Kongu,GEN,2026
104,Bhavani,AIADMK,AIADMK,KARUPPANAN. K.C,75577,68181,206914,36.53,36.53,7396,3.57,Kongu,GEN,2026
105,Anthiyur,AIADMK,AIADMK,HARIBASKAR.P,60042,58782,185021,32.45,32.45,1260,0.68,Kongu,GEN,2026
106,Gobichettipalayam,TVK,TVK,SENGOTTAIYAN.K.A,82612,65992,218820,37.75,37.75,16620,7.6,Kongu,GEN,2026
107,Bhavanisagar,TVK,TVK,V.P.TAMILSELVI,72391,67822,212791,34.02,34.02,4569,2.15,Kongu,SC,2026
108,Udhagamandalam,BJP,BJP,BHOJARAJAN.M,48488,47512,147179,32.94,32.94,976,0.66,Kongu,GEN,2026
109,Gudalur,DMK,DMK,DHRAVIDAMANI.M,65590,42757,150370,43.62,43.62,22833,15.18,Kongu,SC,2026
110,Coonoor,DMK,DMK,M. RAJU,50470,42371,140674,35.88,35.88,8099,5.76,Kongu,GEN,2026
111,Mettuppalayam,TVK,TVK,SUNILANAND,75664,67896,243480,31.08,31.08,7768,3.19,Kongu,GEN,2026
112,Avanashi,TVK,TVK,KAMALI.S,84209,68836,230037,36.61,36.61,15373,6.68,Kongu,SC,2026
113,Tiruppur (North),TVK,TVK,V.SATHYABAMA,131401,61409,262379,50.08,50.08,69992,26.68,Kongu,GEN,2026
114,Tiruppur (South),TVK,TVK,BALAMURUGAN. S,73793,60892,179170,41.19,41.19,12901,7.2,Kongu,GEN,2026
115,Palladam,TVK,TVK,K.RAMKUMAR,121297,83400,299597,40.49,40.49,37897,12.65,Kongu,GEN,2026
116,Sulur,TVK,TVK,NM.SUKUMAR,90531,85741,272191,33.26,33.26,4790,1.76,Kongu,GEN,2026
117,Kavundampalayam,TVK,TVK,KANIMOZHI SANTHOSH,146466,104326,361875,40.47,40.47,42140,11.64,Kongu,GEN,2026
118,Coimbatore (North),TVK,TVK,V. SAMPATHKUMAR,92500,70508,225089,41.09,41.09,21992,9.77,Kongu,GEN,2026
119,Thondamuthur,AIADMK,AIADMK,S.P.VELUMANI,93316,78591,257549,36.23,36.23,14725,5.72,Kongu,GEN,2026
120,Coimbatore (South),DMK,DMK,V SENTHILBALAJI,59724,57453,155740,38.35,38.35,2271,1.46,Kongu,GEN,2026
121,Singanallur,TVK,TVK,K.S.SRI GIRI PRASATH,84163,65024,219687,38.31,38.31,19139,8.71,Kongu,GEN,2026
122,Kinathukadavu,TVK,TVK,VIGNESH K,99950,88240,266200,37.55,37.55,11710,4.4,Kongu,GEN,2026
123,Pollachi,DMK,DMK,K. NITHYANANDHAN,62013,57386,180347,34.39,34.39,4627,2.57,Kongu,GEN,2026
124,Valparai,DMK,DMK,KUTTY (ALIAS) SUDHAKAR. A,54671,45300,149756,36.51,36.51,9371,6.26,Kongu,SC,2026
125,Udumalaipettai,DMK,DMK,JAYAKUMAR M.,68549,65667,202426,33.86,33.86,2882,1.42,Kongu,GEN,2026
126,Madathukulam,DMK,DMK,R JAYARAMAKRISHNAN,70458,54490,187338,37.61,37.61,15968,8.52,Kongu,GEN,2026
127,Palani,AIADMK,AIADMK,RAVIMANOHARAN. K,66986,66293,207869,32.23,32.23,693,0.33,South,GEN,2026
128,Oddanchatram,DMK,DMK,SAKKARAPANI. R,93099,49850,200133,46.52,46.52,43249,21.61,South,GEN,2026
129,Athoor,DMK,DMK,I. PERIASAMY,106240,83872,236371,44.95,44.95,22368,9.46,South,GEN,2026
130,Nilakkottai,TVK,TVK,AYYANAR.R,68580,65655,196951,34.82,34.82,2925,1.49,South,SC,2026
131,Natham,AIADMK,AIADMK,NATHAM VISWANATHAN R,85708,73839,238544,35.93,35.93,11869,4.98,South,GEN,2026
132,Dindigul,DMK,DMK,SENTHILKUMAR. I.P,74489,73358,211191,35.27,35.27,1131,0.54,South,GEN,2026
133,Vedasandur,DMK,DMK,SAMINATHAN. T,84948,74885,226080,37.57,37.57,10063,4.45,South,GEN,2026
134,Aravakurichi,DMK,DMK,ELANGO. R,70827,51445,180441,39.25,39.25,19382,10.74,Kongu,GEN,2026
135,Karur,AIADMK,AIADMK,M.R. VIJAYABHASKAR,71542,69721,216290,33.08,33.08,1821,0.84,Kongu,GEN,2026
136,Krishnarayapuram,TVK,TVK,SATHYA. M,62378,58875,188832,33.03,33.03,3503,1.86,Kongu,SC,2026
137,Kulithalai,DMK,DMK,SURIYANUR. A. CHANDRAN,68138,67559,208479,32.68,32.68,579,0.28,Kongu,GEN,2026
138,Manapparai,TVK,TVK,R. KATHIRAVAN,83041,81615,240267,34.56,34.56,1426,0.59,Delta,GEN,2026
139,Srirangam,TVK,TVK,RAMESH,103235,69645,254056,40.63,40.63,33590,13.22,Delta,GEN,2026
140,Tiruchirappalli (West),DMK,DMK,K.N.NEHRU,88235,83449,195249,45.19,45.19,4786,2.45,Delta,GEN,2026
141,Tiruchirappalli (East),TVK,TVK,C. JOSEPH VIJAY,91381,63965,181979,50.22,50.22,27416,15.07,Delta,GEN,2026
142,Thiruverumbur,TVK,TVK,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,89837,81132,212838,42.21,42.21,8705,4.09,Delta,GEN,2026
143,Lalgudi,AIADMK,AIADMK,LEEMAROSE MARTIN,60795,58056,184823,32.89,32.89,2739,1.48,Delta,GEN,2026
144,Manachanallur,DMK,DMK,KATHIRAVAN. S,81447,69083,209181,38.94,38.94,12364,5.91,Delta,GEN,2026
145,Musiri,TVK,TVK,M.VIGNESH,71281,53839,188048,37.91,37.91,17442,9.28,Delta,GEN,2026
146,Thuraiyur,TVK,TVK,RAVISANKAR.M,66263,56649,183729,36.07,36.07,9614,5.23,Delta,SC,2026
147,Perambalur,TVK,TVK,SIVAKUMAR. K,90882,76489,252494,35.99,35.99,14393,5.7,Central,SC,2026
148,Kunnam,DMK,DMK,SIVASANKAR. S.S,87237,71680,230086,37.91,37.91,15557,6.76,Central,GEN,2026
149,Ariyalur,AIADMK,AIADMK,RAJENDRAN S,95219,70721,235217,40.48,40.48,24498,10.42,Central,GEN,2026
150,Jayankondam,PMK,PMK,VAITHILINGAM G.,88992,70502,228132,39.01,39.01,18490,8.1,Central,GEN,2026
151,Tittakudi,DMK,DMK,GANESAN C.V,63106,60477,175170,36.03,36.03,2629,1.5,Central,SC,2026
152,Vriddhachalam,DMDK,DMDK,PREMALLATHA VIJAYAKANT,69351,66964,208431,33.27,33.27,2387,1.15,Central,GEN,2026
153,Neyveli,AIADMK,AIADMK,RAJENDRAN.R,63731,52769,168012,37.93,37.93,10962,6.52,Central,GEN,2026
154,Panruti,AIADMK,AIADMK,MOHAN. K,78398,67735,209860,37.36,37.36,10663,5.08,Central,GEN,2026
155,Cuddalore,TVK,TVK,B.RAJKUMAR,70856,55337,189484,37.39,37.39,15519,8.19,Central,GEN,2026
156,Kurinjipadi,DMK,DMK,M.R.K.PANNEERSELVAM,76695,69106,213336,35.95,35.95,7589,3.56,Central,GEN,2026
157,Bhuvanagiri,AIADMK,AIADMK,ARUNMOZHITHEVAN . A,75707,73220,206629,36.64,36.64,2487,1.2,Central,GEN,2026
158,Chidambaram,DMK,DMK,THAMIMUN ANSARI. M,69739,63992,195770,35.62,35.62,5747,2.94,Central,GEN,2026
159,Kattumannarkoil,VCK,VCK,L.E. JOTHIMANI,85179,52116,187440,45.44,45.44,33063,17.64,Central,SC,2026
160,Sirkazhi,DMK,DMK,SENTHILSELVAN.R,71449,60032,199893,35.74,35.74,11417,5.71,Delta,SC,2026
161,Mayiladuthurai,INC,INC,JAMAL MOHAMED YOUNOOS. Y.N,68011,57166,187987,36.18,36.18,10845,5.77,Delta,GEN,2026
162,Poompuhar,DMK,DMK,NIVEDHA M MURUGAN,81096,72836,218738,37.07,37.07,8260,3.78,Delta,GEN,2026
163,Nagapattinam,DMK,DMK,M.H.JAWAHIRULLAH,56305,46524,150847,37.33,37.33,9781,6.48,Delta,GEN,2026
164,Kilvelur,CPI(M),CPI(M),LATHA. T,56108,53830,151092,37.13,37.13,2278,1.51,Delta,SC,2026
165,Vedaranyam,AIADMK,AIADMK,MANIAN. O.S,59172,51841,161653,36.6,36.6,7331,4.54,Delta,GEN,2026
166,Thiruthuraipoondi,CPI,CPI,MARIMUTHU.K,74062,61140,190233,38.93,38.93,12922,6.79,Delta,SC,2026
167,Mannargudi,AMMK,AMMK,KAMARAJ. S,68416,66850,193695,35.32,35.32,1566,0.81,Delta,GEN,2026
168,Thiruvarur,DMK,DMK,KALAIVANAN POONDI  K,93408,75260,217050,43.04,43.04,18148,8.36,Delta,GEN,2026
169,Nannilam,AIADMK,AIADMK,KAMARAJ. R,103462,61738,230508,44.88,44.88,41724,18.1,Delta,GEN,2026
170,Thiruvidaimarudur,DMK,DMK,GOVI.CHEZHIAAN,79951,65835,208197,38.4,38.4,14116,6.78,Delta,SC,2026
171,Kumbakonam,TVK,TVK,VINOTH,78650,77971,207328,37.94,37.94,679,0.33,Delta,GEN,2026
172,Papanasam,IUML,IUML,A.M. SHAHJAHAN,69284,68219,207007,33.47,33.47,1065,0.51,Delta,GEN,2026
173,Thiruvaiyaru,DMK,DMK,DURAI. CHANDRASEKARAN,80425,71870,221163,36.36,36.36,8555,3.87,Delta,GEN,2026
174,Thanjavur,TVK,TVK,R. VIJAYSARAVANAN,87705,70750,197524,44.4,44.4,16955,8.58,Delta,GEN,2026
175,Orathanadu,DMK,DMK,R. VAITHILINGAM,86759,51731,194673,44.57,44.57,35028,17.99,Delta,GEN,2026
176,Pattukkottai,DMK,DMK,ANNADURAI K,65963,52209,183007,36.04,36.04,13754,7.52,Delta,GEN,2026
177,Peravurani,DMK,DMK,ASHOKKUMAR. N,60919,57757,175579,34.7,34.7,3162,1.8,Delta,GEN,2026
178,Gandharvakottai,TVK,TVK,N. SUBRAMANIAN,58795,47756,166491,35.31,35.31,11039,6.63,Delta,SC,2026
179,Viralimalai,AIADMK,AIADMK,VIJAYABASKAR. C,105773,43700,203546,51.97,51.97,62073,30.5,Delta,GEN,2026
180,Pudukkottai,DMK,DMK,V. MUTHURAJA,66825,64958,189911,35.19,35.19,1867,0.98,Delta,GEN,2026
181,Thirumayam,DMK,DMK,REGUPATHY.S,58201,56709,181667,32.04,32.04,1492,0.82,Delta,GEN,2026
182,Alangudi,DMK,DMK,SIVA.V.MEYYANATHAN,64929,51952,179810,36.11,36.11,12977,7.22,Delta,GEN,2026
183,Aranthangi,TVK,TVK,MOHAMED FARVAS. J,73244,63182,182150,40.21,40.21,10062,5.52,Delta,GEN,2026
184,Karaikudi,TVK,TVK,DR.PRABHU. TK,101358,55284,228748,44.31,44.31,46074,20.14,South,GEN,2026
185,Tiruppattur,TVK,TVK,SEENIVASA SETHUPATHY. R,83375,83374,214963,38.79,38.79,1,0.0,South,GEN,2026
186,Sivaganga,TVK,TVK,KULANTHAI RANI A,73737,58656,213014,34.62,34.62,15081,7.08,South,GEN,2026
187,Manamadurai,TVK,TVK,ELANGOVAN.D,69971,68763,207797,33.67,33.67,1208,0.58,South,SC,2026
188,Melur,INC,INC,P.VISWANATHAN,60080,57356,190172,31.59,31.59,2724,1.43,South,GEN,2026
189,Madurai East,TVK,TVK,KARTHIKEYAN S,118777,102230,270389,43.93,43.93,16547,6.12,South,GEN,2026
190,Sholavandan,TVK,TVK,KARUPPAIAH.M.V,63907,61229,188509,33.9,33.9,2678,1.42,South,SC,2026
191,Madurai North,TVK,TVK,A.KALLANAI,72853,54815,161048,45.24,45.24,18038,11.2,South,GEN,2026
192,Madurai South,TVK,TVK,M.M.GOPISON,62415,40886,140891,44.3,44.3,21529,15.28,South,GEN,2026
193,Madurai Central,TVK,TVK,MADHAR BADHURUDEEN,63414,44286,147930,42.87,42.87,19128,12.93,South,GEN,2026
194,Madurai West,TVK,TVK,THANGAPANDI SR,88250,76319,215510,40.95,40.95,11931,5.54,South,GEN,2026
195,Thiruparankundram,TVK,TVK,NIRMALKUMAR. R.,114316,72763,254318,44.95,44.95,41553,16.34,South,GEN,2026
196,Thirumangalam,DMK,DMK,MANIMARAN.M,88291,64484,230047,38.38,38.38,23807,10.35,South,GEN,2026
197,Usilampatti,TVK,TVK,VIJAY. M,65743,63938,223356,29.43,29.43,1805,0.81,South,GEN,2026
198,Andipatti,DMK,DMK,MAHARAJAN.A,74324,64770,216301,34.36,34.36,9554,4.42,South,GEN,2026
199,Periyakulam,TVK,TVK,SABARI IYNGARAN G.,85656,66335,209703,40.85,40.85,19321,9.21,South,SC,2026
200,Bodinayakanur,DMK,DMK,PANNEERSELVAM.O,85206,78401,219697,38.78,38.78,6805,3.1,South,GEN,2026
201,Cumbum,TVK,TVK,JEGANATHMISHRA PLA,85394,84643,209907,40.68,40.68,751,0.36,South,GEN,2026
202,Rajapalayam,TVK,TVK,JEGADESHWARI. K,65548,54943,182267,35.96,35.96,10605,5.82,South,GEN,2026
203,Srivilliputhur,TVK,TVK,KARTHIK.A,65653,57072,192598,34.09,34.09,8581,4.46,South,SC,2026
204,Sattur,DMK,DMK,KADARKARAIRAJ. A,62060,56071,198258,31.3,31.3,5989,3.02,South,GEN,2026
205,Sivakasi,TVK,TVK,KEERTHANA S,68709,57039,192569,35.68,35.68,11670,6.06,South,GEN,2026
206,Virudhunagar,TVK,TVK,SELVAM P,63653,54262,166878,38.14,38.14,9391,5.63,South,GEN,2026
207,Aruppukkottai,DMK,DMK,RAMACHANDRAN. K.K.S.S.R,65104,60161,177721,36.63,36.63,4943,2.78,South,GEN,2026
208,Tiruchuli,DMK,DMK,THANGAM THENARASU,75085,61600,180825,41.52,41.52,13485,7.46,South,GEN,2026
209,Paramakudi,DMK,DMK,ADVOCATE. KATHIRAVAN. K.K,59161,55613,189043,31.29,31.29,3548,1.88,South,SC,2026
210,Tiruvadanai,TVK,TVK,RAJEEV,69551,67038,219924,31.63,31.63,2513,1.14,South,GEN,2026
211,Ramanathapuram,DMK,DMK,KATHARBATCHA MUTHURAMALINGAM,89137,76678,236623,37.67,37.67,12459,5.27,South,GEN,2026
212,Mudhukulathur,DMK,DMK,R.S.RAJAKANNAPPAN,68003,51405,230944,29.45,29.45,16598,7.19,South,GEN,2026
