ac_number,constituency,party,party_canonical,candidate,votes,runner_votes,total_valid,vote_pct,winner_pct,margin,margin_pct,region,reserved,year
1,Gummidipoondi,TVK,TVK,S.VIJAYAKUMAR,94320,66375,231585,40.73,40.73,27945,12.07,Chennai Metro,GEN,2026
2,Ponneri,TVK,TVK,DR.RAVI.M.S,110439,54671,225954,48.88,48.88,55768,24.68,Chennai Metro,SC,2026
3,Tiruttani,AIADMK,AIADMK,G.HARI,89169,83376,237588,37.53,37.53,5793,2.44,Chennai Metro,GEN,2026
4,Thiruvallur,TVK,TVK,DR. T. ARUNKUMAR,92190,67430,225296,40.92,40.92,24760,10.99,Chennai Metro,GEN,2026
5,Poonamallee,TVK,TVK,PRAKASAM.R,161309,88569,307323,52.49,52.49,72740,23.67,Chennai Metro,SC,2026
6,Avadi,TVK,TVK,R.RAMESH KUMAR,180384,104073,344472,52.37,52.37,76311,22.15,Chennai Metro,GEN,2026
7,Maduravoyal,TVK,TVK,RHEVANTH CHARAN,141725,80216,292230,48.5,48.5,61509,21.05,Chennai Metro,GEN,2026
8,Ambattur,TVK,TVK,BALAMURUGAN.G,133339,74558,258496,51.58,51.58,58781,22.74,Chennai Metro,GEN,2026
9,Madavaram,TVK,TVK,M.L.VIJAYPRABHU,190462,95477,360604,52.82,52.82,94985,26.34,Chennai Metro,GEN,2026
10,Thiruvottiyur,TVK,TVK,SENTHIL KUMAR. N,110067,56503,206283,53.36,53.36,53564,25.97,Chennai Metro,GEN,2026
11,Dr.Radhakrishnan Nagar,TVK,TVK,N. MARIE WILSON,97800,48132,180645,54.14,54.14,49668,27.49,Chennai Metro,GEN,2026
12,Perambur,TVK,TVK,C. JOSEPH VIJAY,120365,66650,203783,59.07,59.07,53715,26.36,Chennai Metro,GEN,2026
13,Kolathur,TVK,TVK,V. S. BABU,82997,74202,183159,45.31,45.31,8795,4.8,Chennai Metro,GEN,2026
14,Villivakkam,TVK,TVK,AADHAV ARJUNA,66445,49143,140757,47.21,47.21,17302,12.29,Chennai Metro,GEN,2026
15,Thiru-Vi-Ka-Nagar,TVK,TVK,M. R. PALLAVI,69125,46792,143376,48.21,48.21,22333,15.58,Chennai Metro,SC,2026
16,Egmore,TVK,TVK,RAJMOHAN,53901,43097,119043,45.28,45.28,10804,9.08,Chennai Metro,SC,2026
17,Royapuram,TVK,TVK,K.V. VIJAY DAMU,59091,44842,126897,46.57,46.57,14249,11.23,Chennai Metro,GEN,2026
18,Harbour,DMK,DMK,P K SEKARBABU,45254,33504,99022,45.7,45.7,11750,11.87,Chennai Metro,GEN,2026
