ac_number,region,party_grp,votes,total_ac,vote_pct,year
116,Kongu,Others,18613,241653,7.702,2021
117,Kongu,AIADMK,135669,309918,43.776,2021
117,Kongu,DMK,125893,309918,40.621,2021
117,Kongu,NOTA,2892,309918,0.933,2021
117,Kongu,NTK,17897,309918,5.775,2021
117,Kongu,Others,27567,309918,8.895,2021
118,Kongu,AIADMK,81454,202799,40.165,2021
118,Kongu,DMK,77453,202799,38.192,2021
118,Kongu,NOTA,1701,202799,0.839,2021
118,Kongu,NTK,11433,202799,5.638,2021
118,Kongu,Others,30758,202799,15.167,2021
119,Kongu,AIADMK,124225,230531,53.886,2021
119,Kongu,DMK,82595,230531,35.828,2021
119,Kongu,NOTA,1635,230531,0.709,2021
119,Kongu,NTK,8042,230531,3.488,2021
119,Kongu,Others,14034,230531,6.088,2021
120,Kongu,BJP,53209,154765,34.381,2021
120,Kongu,INC,42383,154765,27.385,2021
120,Kongu,NOTA,901,154765,0.582,2021
120,Kongu,NTK,4300,154765,2.778,2021
120,Kongu,Others,53972,154765,34.874,2021
121,Kongu,AIADMK,81244,202021,40.216,2021
121,Kongu,DMK,70390,202021,34.843,2021
121,Kongu,NOTA,1432,202021,0.709,2021
121,Kongu,NTK,8366,202021,4.141,2021
121,Kongu,Others,40589,202021,20.091,2021
122,Kongu,AIADMK,101537,232435,43.684,2021
122,Kongu,DMK,100442,232435,43.213,2021
122,Kongu,NOTA,2280,232435,0.981,2021
122,Kongu,NTK,11280,232435,4.853,2021
122,Kongu,Others,16896,232435,7.269,2021
123,Kongu,AIADMK,80567,177308,45.439,2021
123,Kongu,DMK,78842,177308,44.466,2021
123,Kongu,NOTA,1546,177308,0.872,2021
123,Kongu,NTK,6402,177308,3.611,2021
123,Kongu,Others,9951,177308,5.612,2021
124,Kongu,AIADMK,71672,145172,49.37,2021
124,Kongu,CPI,59449,145172,40.951,2021
124,Kongu,NOTA,1415,145172,0.975,2021
124,Kongu,NTK,7632,145172,5.257,2021
124,Kongu,Others,5004,145172,3.447,2021
125,Kongu,AIADMK,96893,194358,49.853,2021
125,Kongu,INC,74998,194358,38.588,2021
125,Kongu,NOTA,1478,194358,0.76,2021
125,Kongu,NTK,8592,194358,4.421,2021
125,Kongu,Others,12397,194358,6.378,2021
126,Kongu,AIADMK,84313,181902,46.351,2021
126,Kongu,DMK,77875,181902,42.812,2021
126,Kongu,NOTA,1048,181902,0.576,2021
126,Kongu,NTK,6245,181902,3.433,2021
126,Kongu,Others,12421,181902,6.828,2021
127,South,AIADMK,78510,205384,38.226,2021
127,South,DMK,108566,205384,52.86,2021
127,South,NOTA,1110,205384,0.54,2021
127,South,NTK,7656,205384,3.728,2021
127,South,Others,9542,205384,4.646,2021
128,South,AIADMK,81228,201756,40.261,2021
128,South,DMK,109970,201756,54.506,2021
128,South,NOTA,1457,201756,0.722,2021
128,South,NTK,4944,201756,2.45,2021
128,South,Others,4157,201756,2.06,2021
129,South,DMK,165809,229940,72.11,2021
129,South,NOTA,1564,229940,0.68,2021
129,South,NTK,17168,229940,7.466,2021
129,South,Others,15161,229940,6.593,2021
129,South,PMK,30238,229940,13.15,2021
130,South,AIADMK,91461,184805,49.491,2021
130,South,DMK,63843,184805,34.546,2021
130,South,NOTA,1260,184805,0.682,2021
130,South,NTK,17505,184805,9.472,2021
130,South,Others,10736,184805,5.809,2021
131,South,AIADMK,107762,225244,47.842,2021
131,South,DMK,95830,225244,42.545,2021
131,South,NOTA,1444,225244,0.641,2021
131,South,NTK,14762,225244,6.554,2021
131,South,Others,5446,225244,2.418,2021
132,South,AIADMK,90595,195118,46.431,2021
132,South,CPI(M),72848,195118,37.335,2021
132,South,NOTA,1807,195118,0.926,2021
132,South,NTK,14860,195118,7.616,2021
132,South,Others,15008,195118,7.692,2021
133,South,AIADMK,88928,213080,41.735,2021
133,South,DMK,106481,213080,49.972,2021
133,South,NOTA,803,213080,0.377,2021
133,South,NTK,8495,213080,3.987,2021
133,South,Others,8373,213080,3.93,2021
134,Kongu,BJP,68553,177114,38.706,2021
134,Kongu,DMK,93369,177114,52.717,2021
134,Kongu,NOTA,869,177114,0.491,2021
134,Kongu,NTK,7188,177114,4.058,2021
134,Kongu,Others,7135,177114,4.028,2021
135,Kongu,AIADMK,89309,207310,43.08,2021
135,Kongu,DMK,101757,207310,49.084,2021
135,Kongu,NOTA,961,207310,0.464,2021
135,Kongu,NTK,7316,207310,3.529,2021
135,Kongu,Others,7967,207310,3.843,2021
136,Kongu,AIADMK,64915,180902,35.884,2021
136,Kongu,DMK,96540,180902,53.366,2021
136,Kongu,NOTA,1177,180902,0.651,2021
136,Kongu,NTK,9706,180902,5.365,2021
136,Kongu,Others,8564,180902,4.734,2021
137,Kongu,AIADMK,77289,197456,39.142,2021
137,Kongu,DMK,100829,197456,51.064,2021
137,Kongu,NOTA,1191,197456,0.603,2021
137,Kongu,NTK,11511,197456,5.83,2021
137,Kongu,Others,6636,197456,3.361,2021
138,Delta,AIADMK,85834,221748,38.708,2021
138,Delta,DMK,98077,221748,44.229,2021
138,Delta,NOTA,1009,221748,0.455,2021
138,Delta,NTK,19450,221748,8.771,2021
138,Delta,Others,17378,221748,7.837,2021
139,Delta,AIADMK,93989,240240,39.123,2021
139,Delta,DMK,113904,240240,47.413,2021
139,Delta,NOTA,2417,240240,1.006,2021
139,Delta,NTK,17911,240240,7.455,2021
139,Delta,Others,12019,240240,5.003,2021
140,Delta,AIADMK,33024,183099,18.036,2021
140,Delta,DMK,118133,183099,64.519,2021
140,Delta,NOTA,2117,183099,1.156,2021
140,Delta,NTK,15725,183099,8.588,2021
140,Delta,Others,14100,183099,7.701,2021
141,Delta,AIADMK,40505,172856,23.433,2021
141,Delta,DMK,94302,172856,54.555,2021
141,Delta,NOTA,1535,172856,0.888,2021
141,Delta,NTK,14312,172856,8.28,2021
141,Delta,Others,22202,172856,12.844,2021
142,Delta,AIADMK,55727,197013,28.286,2021
142,Delta,DMK,105424,197013,53.511,2021
142,Delta,NOTA,1418,197013,0.72,2021
142,Delta,NTK,15719,197013,7.979,2021
142,Delta,Others,18725,197013,9.504,2021
143,Delta,AIADMK,67965,174754,38.892,2021
143,Delta,DMK,84914,174754,48.591,2021
143,Delta,NOTA,1200,174754,0.687,2021
143,Delta,NTK,16248,174754,9.298,2021
143,Delta,Others,4427,174754,2.533,2021
144,Delta,AIADMK,56716,196719,28.831,2021
144,Delta,DMK,116334,196719,59.137,2021
144,Delta,NOTA,1067,196719,0.542,2021
144,Delta,NTK,14443,196719,7.342,2021
144,Delta,Others,8159,196719,4.148,2021
145,Delta,AIADMK,63788,179706,35.496,2021
145,Delta,DMK,90624,179706,50.429,2021
145,Delta,NOTA,1092,179706,0.608,2021
145,Delta,NTK,14311,179706,7.964,2021
145,Delta,Others,9891,179706,5.504,2021
146,Delta,AIADMK,65715,175876,37.364,2021
146,Delta,DMK,87786,175876,49.914,2021
146,Delta,NOTA,1594,175876,0.906,2021
146,Delta,NTK,13158,175876,7.481,2021
146,Delta,Others,7623,175876,4.334,2021
147,Central,AIADMK,91056,240026,37.936,2021
147,Central,DMK,122090,240026,50.865,2021
147,Central,NOTA,1884,240026,0.785,2021
147,Central,NTK,18673,240026,7.78,2021
147,Central,Others,6323,240026,2.634,2021
148,Central,AIADMK,97593,219879,44.385,2021
148,Central,DMK,103922,219879,47.263,2021
148,Central,NOTA,753,219879,0.342,2021
148,Central,NTK,9354,219879,4.254,2021
148,Central,Others,8257,219879,3.755,2021
149,Central,AIADMK,100741,225225,44.729,2021
149,Central,DMK,103975,225225,46.165,2021
149,Central,NOTA,1386,225225,0.615,2021
149,Central,NTK,12346,225225,5.482,2021
149,Central,Others,6777,225225,3.009,2021
150,Central,DMK,99529,216368,46.0,2021
150,Central,NOTA,1861,216368,0.86,2021
150,Central,NTK,9956,216368,4.601,2021
150,Central,Others,10945,216368,5.059,2021
150,Central,PMK,94077,216368,43.48,2021
151,Central,BJP,62163,168184,36.961,2021
151,Central,DMK,83726,168184,49.782,2021
151,Central,NOTA,999,168184,0.594,2021
151,Central,NTK,10591,168184,6.297,2021
151,Central,Others,10705,168184,6.365,2021
152,Central,INC,77064,196734,39.172,2021
152,Central,NOTA,761,196734,0.387,2021
152,Central,NTK,8642,196734,4.393,2021
152,Central,Others,34065,196734,17.315,2021
152,Central,PMK,76202,196734,38.734,2021
153,Central,DMK,75177,164130,45.803,2021
153,Central,NOTA,1171,164130,0.713,2021
153,Central,NTK,7785,164130,4.743,2021
153,Central,Others,5797,164130,3.532,2021
153,Central,PMK,74200,164130,45.208,2021
154,Central,AIADMK,89104,197049,45.219,2021
154,Central,DMK,93801,197049,47.603,2021
154,Central,NOTA,1323,197049,0.671,2021
154,Central,NTK,6547,197049,3.323,2021
154,Central,Others,6274,197049,3.184,2021
155,Central,AIADMK,79412,182001,43.633,2021
155,Central,DMK,84563,182001,46.463,2021
155,Central,NOTA,1236,182001,0.679,2021
155,Central,NTK,9563,182001,5.254,2021
155,Central,Others,7227,182001,3.971,2021
156,Central,AIADMK,83929,198781,42.222,2021
156,Central,DMK,101456,198781,51.039,2021
156,Central,NOTA,1212,198781,0.61,2021
156,Central,NTK,8512,198781,4.282,2021
156,Central,Others,3672,198781,1.847,2021
157,Central,AIADMK,96453,197165,48.92,2021
157,Central,DMK,88194,197165,44.731,2021
157,Central,NOTA,1058,197165,0.537,2021
157,Central,NTK,6958,197165,3.529,2021
157,Central,Others,4502,197165,2.283,2021
158,Central,AIADMK,91961,183352,50.155,2021
158,Central,NOTA,1202,183352,0.656,2021
158,Central,NTK,9071,183352,4.947,2021
158,Central,Others,81118,183352,44.242,2021
159,Central,AIADMK,75491,175561,43.0,2021
159,Central,NOTA,648,175561,0.369,2021
159,Central,NTK,6806,175561,3.877,2021
159,Central,Others,6560,175561,3.737,2021
159,Central,VCK,86056,175561,49.018,2021
160,Delta,AIADMK,81909,191325,42.811,2021
160,Delta,DMK,94057,191325,49.161,2021
160,Delta,NOTA,977,191325,0.511,2021
160,Delta,NTK,11013,191325,5.756,2021
160,Delta,Others,3369,191325,1.761,2021
161,Delta,INC,73642,174640,42.168,2021
161,Delta,NOTA,1067,174640,0.611,2021
161,Delta,NTK,13186,174640,7.55,2021
161,Delta,Others,15845,174640,9.073,2021
161,Delta,PMK,70900,174640,40.598,2021
162,Delta,AIADMK,92803,207838,44.652,2021
162,Delta,DMK,96102,207838,46.239,2021
162,Delta,NOTA,733,207838,0.353,2021
162,Delta,NTK,14823,207838,7.132,2021
162,Delta,Others,3377,207838,1.625,2021
163,Delta,AIADMK,59043,143560,41.128,2021
163,Delta,NOTA,895,143560,0.623,2021
163,Delta,NTK,9976,143560,6.949,2021
163,Delta,Others,7365,143560,5.13,2021
163,Delta,VCK,66281,143560,46.17,2021
164,Delta,CPI(M),67988,142995,47.546,2021
164,Delta,NOTA,897,142995,0.627,2021
164,Delta,NTK,15173,142995,10.611,2021
164,Delta,Others,7934,142995,5.548,2021
164,Delta,PMK,51003,142995,35.668,2021
165,Delta,AIADMK,78719,158060,49.803,2021
165,Delta,DMK,66390,158060,42.003,2021
165,Delta,NOTA,673,158060,0.426,2021
165,Delta,NTK,9106,158060,5.761,2021
165,Delta,Others,3172,158060,2.007,2021
166,Delta,AIADMK,67024,185886,36.057,2021
166,Delta,CPI,97092,185886,52.232,2021
166,Delta,NOTA,1313,185886,0.706,2021
166,Delta,NTK,15362,185886,8.264,2021
166,Delta,Others,5095,185886,2.741,2021
167,Delta,AIADMK,49779,193229,25.762,2021
167,Delta,DMK,87172,193229,45.113,2021
167,Delta,NOTA,960,193229,0.497,2021
167,Delta,NTK,10438,193229,5.402,2021
167,Delta,Others,44880,193229,23.226,2021
168,Delta,AIADMK,57732,208290,27.717,2021
168,Delta,DMK,108906,208290,52.286,2021
168,Delta,NOTA,1653,208290,0.794,2021
168,Delta,NTK,26300,208290,12.627,2021
168,Delta,Others,13699,208290,6.577,2021
169,Delta,AIADMK,103637,221944,46.695,2021
169,Delta,DMK,99213,221944,44.702,2021
169,Delta,NOTA,1190,221944,0.536,2021
169,Delta,NTK,13419,221944,6.046,2021
169,Delta,Others,4485,221944,2.021,2021
170,Delta,AIADMK,85083,198446,42.875,2021
170,Delta,DMK,95763,198446,48.256,2021
170,Delta,NOTA,1240,198446,0.625,2021
170,Delta,NTK,11176,198446,5.632,2021
170,Delta,Others,5184,198446,2.612,2021
171,Delta,AIADMK,74674,197564,37.797,2021
171,Delta,DMK,96057,197564,48.621,2021
171,Delta,NOTA,1648,197564,0.834,2021
171,Delta,NTK,12480,197564,6.317,2021
171,Delta,Others,12705,197564,6.431,2021
172,Delta,AIADMK,70294,196982,35.685,2021
172,Delta,DMK,86567,196982,43.947,2021
172,Delta,NOTA,1204,196982,0.611,2021
172,Delta,NTK,14724,196982,7.475,2021
172,Delta,Others,24193,196982,12.282,2021
173,Delta,BJP,49560,211430,23.44,2021
173,Delta,DMK,103210,211430,48.815,2021
173,Delta,NOTA,1180,211430,0.558,2021
173,Delta,NTK,15820,211430,7.482,2021
173,Delta,Others,41660,211430,19.704,2021
174,Delta,AIADMK,56623,194859,29.058,2021
174,Delta,DMK,103772,194859,53.255,2021
174,Delta,NOTA,1938,194859,0.995,2021
174,Delta,NTK,17366,194859,8.912,2021
174,Delta,Others,15160,194859,7.78,2021
175,Delta,AIADMK,90063,191840,46.947,2021
175,Delta,DMK,61228,191840,31.916,2021
175,Delta,NOTA,867,191840,0.452,2021
175,Delta,NTK,9050,191840,4.717,2021
175,Delta,Others,30632,191840,15.967,2021
176,Delta,AIADMK,53796,177200,30.359,2021
176,Delta,DMK,79065,177200,44.619,2021
176,Delta,NOTA,1026,177200,0.579,2021
176,Delta,NTK,10730,177200,6.055,2021
176,Delta,Others,32583,177200,18.388,2021
177,Delta,AIADMK,65627,170850,38.412,2021
177,Delta,DMK,89130,170850,52.169,2021
177,Delta,NOTA,770,170850,0.451,2021
177,Delta,NTK,12154,170850,7.114,2021
177,Delta,Others,3169,170850,1.855,2021
178,Delta,AIADMK,56989,157620,36.156,2021
178,Delta,CPI(M),69710,157620,44.227,2021
178,Delta,NOTA,1390,157620,0.882,2021
178,Delta,NTK,12661,157620,8.033,2021
178,Delta,Others,16870,157620,10.703,2021
179,Delta,AIADMK,102179,193423,52.827,2021
179,Delta,DMK,78581,193423,40.627,2021
179,Delta,NOTA,385,193423,0.199,2021
179,Delta,NTK,7035,193423,3.637,2021
179,Delta,Others,5243,193423,2.711,2021
180,Delta,AIADMK,72801,179892,40.469,2021
180,Delta,DMK,85802,179892,47.696,2021
180,Delta,NOTA,604,179892,0.336,2021
180,Delta,NTK,11503,179892,6.394,2021
180,Delta,Others,9182,179892,5.104,2021
181,Delta,AIADMK,69967,174031,40.204,2021
181,Delta,DMK,71349,174031,40.998,2021
181,Delta,NOTA,569,174031,0.327,2021
181,Delta,NTK,11061,174031,6.356,2021
181,Delta,Others,21085,174031,12.116,2021
182,Delta,AIADMK,62088,171842,36.131,2021
182,Delta,DMK,87935,171842,51.172,2021
182,Delta,NOTA,702,171842,0.409,2021
182,Delta,NTK,15477,171842,9.007,2021
182,Delta,Others,5640,171842,3.282,2021
183,Delta,AIADMK,50942,168048,30.314,2021
183,Delta,INC,81835,168048,48.697,2021
183,Delta,NOTA,524,168048,0.312,2021
183,Delta,NTK,18460,168048,10.985,2021
183,Delta,Others,16287,168048,9.692,2021
184,South,BJP,54365,212456,25.589,2021
184,South,INC,75954,212456,35.75,2021
184,South,NOTA,1349,212456,0.635,2021
184,South,NTK,23872,212456,11.236,2021
184,South,Others,56916,212456,26.79,2021
185,South,AIADMK,66308,210766,31.46,2021
185,South,DMK,103682,210766,49.193,2021
185,South,NOTA,853,210766,0.405,2021
185,South,NTK,14571,210766,6.913,2021
185,South,Others,25352,210766,12.029,2021
186,South,AIADMK,82153,202044,40.661,2021
186,South,CPI,70900,202044,35.091,2021
186,South,NOTA,1270,202044,0.629,2021
186,South,NTK,22500,202044,11.136,2021
186,South,Others,25221,202044,12.483,2021
187,South,AIADMK,75273,203061,37.069,2021
187,South,DMK,89364,203061,44.008,2021
187,South,NOTA,1333,203061,0.656,2021
187,South,NTK,23228,203061,11.439,2021
187,South,Others,13863,203061,6.827,2021
188,South,AIADMK,83344,182782,45.597,2021
188,South,INC,48182,182782,26.36,2021
188,South,NOTA,884,182782,0.484,2021
188,South,NTK,10669,182782,5.837,2021
188,South,Others,39703,182782,21.722,2021
189,South,AIADMK,73125,237892,30.739,2021
189,South,DMK,122729,237892,51.59,2021
189,South,NOTA,1944,237892,0.817,2021
189,South,NTK,17668,237892,7.427,2021
189,South,Others,22426,237892,9.427,2021
190,South,AIADMK,67195,175361,38.318,2021
190,South,DMK,84240,175361,48.038,2021
190,South,NOTA,961,175361,0.548,2021
190,South,NTK,13936,175361,7.947,2021
190,South,Others,9029,175361,5.149,2021
191,South,BJP,50094,156556,31.997,2021
191,South,DMK,73010,156556,46.635,2021
191,South,NOTA,1564,156556,0.999,2021
191,South,NTK,15311,156556,9.78,2021
191,South,Others,16577,156556,10.589,2021
192,South,AIADMK,56297,147833,38.081,2021
192,South,DMK,62812,147833,42.488,2021
192,South,NOTA,1551,147833,1.049,2021
192,South,NTK,10483,147833,7.091,2021
192,South,Others,16690,147833,11.29,2021
193,South,AIADMK,39029,149430,26.119,2021
193,South,DMK,73205,149430,48.989,2021
193,South,NOTA,1441,149430,0.964,2021
193,South,NTK,11215,149430,7.505,2021
193,South,Others,24540,149430,16.422,2021
194,South,AIADMK,83883,201694,41.589,2021
194,South,DMK,74762,201694,37.067,2021
194,South,NOTA,1774,201694,0.88,2021
194,South,NTK,18224,201694,9.035,2021
194,South,Others,23051,201694,11.429,2021
195,South,AIADMK,103683,235849,43.962,2021
195,South,CPI(M),74194,235849,31.458,2021
195,South,NOTA,2073,235849,0.879,2021
195,South,NTK,22722,235849,9.634,2021
195,South,Others,33177,235849,14.067,2021
196,South,AIADMK,100338,220495,45.506,2021
196,South,DMK,86251,220495,39.117,2021
196,South,NOTA,971,220495,0.44,2021
196,South,NTK,11593,220495,5.258,2021
196,South,Others,21342,220495,9.679,2021
197,South,AIADMK,71255,212513,33.53,2021
197,South,DMK,63778,212513,30.011,2021
197,South,NOTA,1032,212513,0.486,2021
197,South,NTK,15357,212513,7.226,2021
197,South,Others,61091,212513,28.747,2021
198,South,AIADMK,85003,209540,40.566,2021
198,South,DMK,93541,209540,44.641,2021
198,South,NOTA,1333,209540,0.636,2021
198,South,NTK,11216,209540,5.353,2021
198,South,Others,18447,209540,8.804,2021
199,South,AIADMK,70930,201797,35.149,2021
199,South,DMK,92251,201797,45.715,2021
199,South,NOTA,2451,201797,1.215,2021
199,South,NTK,11794,201797,5.844,2021
199,South,Others,24371,201797,12.077,2021
200,South,AIADMK,100050,214795,46.579,2021
200,South,DMK,89029,214795,41.448,2021
200,South,NOTA,1403,214795,0.653,2021
200,South,NTK,11114,214795,5.174,2021
200,South,Others,13199,214795,6.145,2021
201,South,AIADMK,62387,202275,30.843,2021
201,South,DMK,104800,202275,51.811,2021
201,South,NOTA,1659,202275,0.82,2021
201,South,NTK,12347,202275,6.104,2021
201,South,Others,21082,202275,10.422,2021
202,South,AIADMK,70260,178708,39.316,2021
202,South,DMK,74158,178708,41.497,2021
202,South,NOTA,1875,178708,1.049,2021
202,South,NTK,15593,178708,8.725,2021
202,South,Others,16822,178708,9.413,2021
203,South,AIADMK,70475,185039,38.087,2021
203,South,INC,57737,185039,31.203,2021
203,South,NOTA,1666,185039,0.9,2021
203,South,NTK,20348,185039,10.997,2021
203,South,Others,34813,185039,18.814,2021
204,South,AIADMK,62995,191783,32.847,2021
204,South,DMK,74174,191783,38.676,2021
204,South,NOTA,1297,191783,0.676,2021
204,South,NTK,12626,191783,6.583,2021
204,South,Others,40691,191783,21.217,2021
205,South,AIADMK,61628,185047,33.304,2021
205,South,INC,78947,185047,42.663,2021
205,South,NOTA,1727,185047,0.933,2021
205,South,NTK,20865,185047,11.276,2021
205,South,Others,21880,185047,11.824,2021
206,South,BJP,51958,161717,32.129,2021
206,South,DMK,73297,161717,45.324,2021
206,South,NOTA,1570,161717,0.971,2021
206,South,NTK,14311,161717,8.849,2021
206,South,Others,20581,161717,12.727,2021
207,South,AIADMK,52006,171201,30.377,2021
207,South,DMK,91040,171201,53.177,2021
207,South,NOTA,1323,171201,0.773,2021
207,South,NTK,12392,171201,7.238,2021
207,South,Others,14440,171201,8.435,2021
208,South,AIADMK,41233,172811,23.86,2021
208,South,DMK,102225,172811,59.154,2021
208,South,NOTA,740,172811,0.428,2021
208,South,NTK,13787,172811,7.978,2021
208,South,Others,14826,172811,8.579,2021
209,South,AIADMK,71579,182158,39.295,2021
209,South,DMK,84864,182158,46.588,2021
209,South,NOTA,1258,182158,0.691,2021
209,South,NTK,16430,182158,9.02,2021
209,South,Others,8027,182158,4.407,2021
210,South,AIADMK,65512,201815,32.461,2021
210,South,INC,79364,201815,39.325,2021
210,South,NOTA,768,201815,0.381,2021
210,South,NTK,16501,201815,8.176,2021
210,South,Others,39670,201815,19.657,2021
211,South,BJP,60603,214098,28.306,2021
211,South,DMK,111082,214098,51.884,2021
211,South,NOTA,753,214098,0.352,2021
211,South,NTK,17046,214098,7.962,2021
211,South,Others,24614,214098,11.497,2021
212,South,AIADMK,81180,221213,36.698,2021
212,South,DMK,101901,221213,46.065,2021
212,South,NOTA,523,221213,0.236,2021
212,South,NTK,11244,221213,5.083,2021
212,South,Others,26365,221213,11.918,2021
213,South,AIADMK,51799,167169,30.986,2021
213,South,DMK,90348,167169,54.046,2021
213,South,NOTA,1036,167169,0.62,2021
213,South,NTK,11828,167169,7.075,2021
213,South,Others,12158,167169,7.273,2021
214,South,AIADMK,42004,188407,22.294,2021
214,South,DMK,92314,188407,48.997,2021
214,South,NOTA,1569,188407,0.833,2021
214,South,NTK,30937,188407,16.42,2021
214,South,Others,21583,188407,11.456,2021
215,South,AIADMK,63011,174536,36.102,2021
215,South,DMK,88274,174536,50.576,2021
215,South,NOTA,1051,174536,0.602,2021
215,South,NTK,15063,174536,8.63,2021
215,South,Others,7137,174536,4.089,2021
216,South,AIADMK,59471,164386,36.178,2021
216,South,INC,76843,164386,46.745,2021
216,South,NOTA,756,164386,0.46,2021
216,South,NTK,12706,164386,7.729,2021
216,South,Others,14610,164386,8.888,2021
217,South,AIADMK,64600,177840,36.325,2021
217,South,DMK,73110,177840,41.11,2021
217,South,NOTA,1568,177840,0.882,2021
217,South,NTK,22413,177840,12.603,2021
217,South,Others,16149,177840,9.081,2021
218,South,AIADMK,68556,180928,37.891,2021
218,South,CPI(M),37380,180928,20.66,2021
218,South,NOTA,1124,180928,0.621,2021
218,South,NTK,9213,180928,5.092,2021
218,South,Others,64655,180928,35.735,2021
219,South,AIADMK,66050,183338,36.026,2021
219,South,DMK,71347,183338,38.916,2021
219,South,NOTA,1957,183338,1.067,2021
219,South,NTK,13851,183338,7.555,2021
219,South,Others,30133,183338,16.436,2021
220,South,AIADMK,66363,175881,37.732,2021
220,South,DMK,68730,175881,39.078,2021
220,South,NOTA,2171,175881,1.234,2021
220,South,NTK,16731,175881,9.513,2021
220,South,Others,21886,175881,12.444,2021
221,South,AIADMK,88474,205374,43.079,2021
221,South,NOTA,1056,205374,0.514,2021
221,South,NTK,10136,205374,4.935,2021
221,South,Others,105708,205374,51.471,2021
222,South,AIADMK,88945,214108,41.542,2021
222,South,INC,89315,214108,41.715,2021
222,South,NOTA,1159,214108,0.541,2021
222,South,NTK,15336,214108,7.163,2021
222,South,Others,19353,214108,9.039,2021
223,South,AIADMK,74153,203478,36.443,2021
223,South,DMK,70614,203478,34.704,2021
223,South,NOTA,1786,203478,0.878,2021
223,South,NTK,12519,203478,6.153,2021
223,South,Others,44406,203478,21.823,2021
224,South,BJP,92282,197587,46.704,2021
224,South,DMK,69175,197587,35.01,2021
224,South,NOTA,2091,197587,1.058,2021
224,South,NTK,19162,197587,9.698,2021
224,South,Others,14877,197587,7.529,2021
225,South,AIADMK,85211,177681,47.957,2021
225,South,DMK,68296,177681,38.437,2021
225,South,NOTA,1673,177681,0.942,2021
225,South,NTK,13735,177681,7.73,2021
225,South,Others,8766,177681,4.934,2021
226,South,AIADMK,36976,161091,22.953,2021
226,South,DMK,89117,161091,55.321,2021
226,South,NOTA,1647,161091,1.022,2021
226,South,NTK,11665,161091,7.241,2021
226,South,Others,21686,161091,13.462,2021
227,South,AIADMK,59416,192522,30.862,2021
227,South,INC,75902,192522,39.425,2021
227,South,NOTA,1537,192522,0.798,2021
227,South,NTK,17654,192522,9.17,2021
227,South,Others,38013,192522,19.745,2021
228,South,AIADMK,76406,187310,40.791,2021
228,South,DMK,82331,187310,43.954,2021
228,South,NOTA,903,187310,0.482,2021
228,South,NTK,19371,187310,10.342,2021
228,South,Others,8299,187310,4.431,2021
229,South,AIADMK,109745,224874,48.803,2021
229,South,DMK,93532,224874,41.593,2021
229,South,NOTA,1096,224874,0.487,2021
229,South,NTK,14140,224874,6.288,2021
229,South,Others,6361,224874,2.829,2021
230,South,BJP,88804,184185,48.215,2021
230,South,DMK,77135,184185,41.879,2021
230,South,NOTA,930,184185,0.505,2021
230,South,NTK,10753,184185,5.838,2021
230,South,Others,6563,184185,3.563,2021
231,South,BJP,65849,182969,35.989,2021
231,South,INC,90681,182969,49.561,2021
231,South,NOTA,878,182969,0.48,2021
231,South,NTK,18202,182969,9.948,2021
231,South,Others,7359,182969,4.022,2021
232,South,AIADMK,60859,170156,35.767,2021
232,South,DMK,87744,170156,51.567,2021
232,South,NOTA,1036,170156,0.609,2021
232,South,NTK,13899,170156,8.168,2021
232,South,Others,6618,170156,3.889,2021
233,South,BJP,58804,167836,35.037,2021
233,South,INC,87473,167836,52.118,2021
233,South,NOTA,782,167836,0.466,2021
233,South,NTK,12292,167836,7.324,2021
233,South,Others,8485,167836,5.056,2021
234,South,AIADMK,46141,169918,27.155,2021
234,South,INC,101541,169918,59.759,2021
234,South,NOTA,754,169918,0.444,2021
234,South,NTK,14517,169918,8.544,2021
234,South,Others,6965,169918,4.099,2021
1,Chennai Metro,AIADMK,66375,232522,28.546,2026
1,Chennai Metro,DMK,62492,232522,26.876,2026
1,Chennai Metro,NOTA,937,232522,0.403,2026
1,Chennai Metro,NTK,4756,232522,2.045,2026
1,Chennai Metro,Others,3642,232522,1.566,2026
1,Chennai Metro,TVK,94320,232522,40.564,2026
2,Chennai Metro,AIADMK,51468,226819,22.691,2026
2,Chennai Metro,INC,54671,226819,24.103,2026
2,Chennai Metro,NOTA,865,226819,0.381,2026
2,Chennai Metro,NTK,6676,226819,2.943,2026
2,Chennai Metro,Others,2700,226819,1.19,2026
2,Chennai Metro,TVK,110439,226819,48.69,2026
3,Chennai Metro,AIADMK,89169,238798,37.341,2026
3,Chennai Metro,NOTA,1210,238798,0.507,2026
3,Chennai Metro,NTK,6704,238798,2.807,2026
3,Chennai Metro,Others,58339,238798,24.43,2026
3,Chennai Metro,TVK,83376,238798,34.915,2026
4,Chennai Metro,AIADMK,56562,226428,24.98,2026
4,Chennai Metro,DMK,67430,226428,29.78,2026
4,Chennai Metro,NOTA,1132,226428,0.5,2026
4,Chennai Metro,NTK,5513,226428,2.435,2026
4,Chennai Metro,Others,3601,226428,1.59,2026
4,Chennai Metro,TVK,92190,226428,40.715,2026
5,Chennai Metro,DMK,88569,308894,28.673,2026
5,Chennai Metro,NOTA,1571,308894,0.509,2026
5,Chennai Metro,NTK,11697,308894,3.787,2026
5,Chennai Metro,Others,45748,308894,14.81,2026
5,Chennai Metro,TVK,161309,308894,52.221,2026
6,Chennai Metro,BJP,39605,346005,11.446,2026
6,Chennai Metro,DMK,104073,346005,30.078,2026
