Column2,Column11,Column12
AC NO.,POSTAL,TOTAL
1,500,94320
1,481,66375
1,570,62492
1,49,4756
1,6,937
1,2,697
1,6,599
1,1,503
1,1,336
1,2,321
1,0,260
1,0,222
1,0,217
1,1,206
1,3,177
1,0,104
2,388,110439
2,370,54671
2,308,51468
2,43,6676
2,6,865
2,4,615
2,0,371
2,6,366
2,4,299
2,1,289
2,5,232
2,1,203
2,3,166
2,4,159
3,1276,89169
3,768,83376
3,887,54863
3,188,6704
3,30,1210
3,3,946
3,5,628
3,1,470
3,7,467
3,0,272
3,9,210
3,1,198
3,1,153
3,2,132
4,507,92190
4,701,67430
4,476,56562
4,61,5513
4,10,1132
4,1,868
4,6,674
4,9,653
4,2,354
4,4,227
4,2,203
4,0,186
4,0,184
4,0,134
4,0,118
5,666,161309
5,766,88569
5,263,43280
5,81,11697
5,20,1571
5,8,860
5,3,355
5,5,304
5,0,297
5,1,264
5,1,255
5,0,133
6,912,180384
6,958,104073
6,435,39605
6,145,16335
6,14,1533
6,15,761
6,2,627
6,7,478
6,3,308
6,1,255
6,2,224
6,0,205
6,0,195
6,0,177
6,0,167
6,0,156
6,0,141
6,0,105
6,0,105
6,1,94
6,0,77
7,302,141725
7,549,80216
7,249,54705
7,47,13024
7,14,1462
7,7,322
7,2,300
7,2,266
7,1,233
7,1,207
7,2,202
7,0,171
7,0,157
7,0,119
7,3,99
7,2,84
7,0,83
7,0,78
7,1,71
7,0,67
7,0,67
7,0,34
8,344,133339
8,402,74558
8,171,35997
8,39,11088
8,16,1490
8,4,588
8,0,493
8,2,443
8,3,308
8,0,224
8,0,179
8,0,135
8,2,127
8,2,127
8,1,126
8,1,103
8,4,103
8,0,102
8,0,89
8,1,83
8,0,77
8,1,72
8,2,68
8,0,67
9,678,190462
9,695,95477
9,376,59290
9,74,12637
9,11,1394
9,1,676
9,7,537
9,1,232
9,0,198
9,1,191
9,0,188
9,4,177
9,2,157
9,0,154
9,1,129
9,1,99
10,279,110067
10,238,56503
10,130,28320
10,33,8413
10,6,838
10,10,805
10,3,458
10,6,316
10,0,307
10,0,271
10,0,198
10,1,149
10,1,139
10,0,117
10,1,110
10,5,77
11,271,97800
11,225,48132
11,138,26892
11,34,5364
11,4,565
11,1,338
11,0,236
11,1,211
11,1,179
11,0,149
11,0,112
11,0,91
11,0,86
11,0,71
11,0,65
11,0,58
11,1,54
11,0,54
11,0,47
11,1,47
11,0,47
11,0,44
11,0,44
11,0,42
11,0,41
11,0,40
11,1,40
11,0,39
11,0,37
11,0,36
11,0,35
11,0,35
11,1,32
11,0,30
11,1,26
11,0,25
11,0,25
11,0,24
11,0,17
12,580,120365
12,570,66650
12,90,8561
12,34,5114
12,3,601
12,1,256
12,3,238
12,3,230
12,9,216
12,2,174
12,7,148
12,0,118
12,1,101
12,1,98
12,0,95
12,0,94
12,0,93
12,1,90
12,0,78
12,0,78
12,0,77
12,1,71
12,0,70
12,1,63
12,1,53
12,0,51
12,0,47
12,1,46
12,0,43
12,0,41
12,0,39
12,1,33
12,1,32
12,0,32
12,0,31
12,0,30
12,0,28
12,0,26
12,0,24
12,0,21
12,0,19
12,0,19
12,0,18
12,0,17
12,1,16
12,0,14
12,0,13
12,0,12
13,383,82997
13,982,74202
13,215,18430
13,34,5046
13,10,892
13,8,484
13,10,236
13,1,181
13,1,153
13,2,125
13,2,122
13,1,105
13,1,84
13,0,79
13,0,74
13,1,73
13,0,64
13,1,56
13,0,56
13,2,55
13,0,53
13,0,52
13,0,50
13,0,49
13,0,43
13,1,35
13,1,34
13,0,33
13,0,31
13,0,28
13,1,26
13,0,24
13,1,23
13,0,22
13,0,21
13,0,13
14,296,66445
14,413,49143
14,175,19338
14,23,4310
14,4,695
14,0,184
14,1,147
14,0,147
14,4,107
14,0,99
14,0,88
14,0,77
14,2,71
14,0,62
14,3,58
14,1,51
14,0,50
14,6,48
14,0,48
14,1,46
14,1,42
14,0,33
14,0,32
14,0,30
14,2,29
14,1,28
14,0,25
14,0,10
14,0,9
15,357,69125
15,412,46792
15,224,23304
15,21,2658
15,4,527
15,8,350
15,0,170
15,1,134
15,0,134
15,0,127
15,2,94
15,0,77
15,0,70
15,1,51
15,1,45
15,1,40
15,2,40
15,0,32
15,1,29
15,0,27
15,3,23
15,2,21
15,0,18
15,0,15
16,381,53901
16,369,43097
16,215,18191
16,25,2522
16,3,695
16,5,209
16,4,173
16,2,155
16,0,152
16,2,111
16,2,99
16,4,92
16,0,65
16,0,60
16,0,54
16,0,51
16,0,44
16,0,41
16,0,26
17,381,59091
17,328,44842
17,250,18420
17,29,2947
17,8,459
17,3,222
17,0,216
17,0,149
17,0,99
17,1,84
17,0,83
17,1,76
17,0,64
17,2,63
17,0,62
17,0,52
17,2,49
17,1,40
17,1,38
