ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes
46,GUDIYATTAM,Paritha Purushothaman.g,ADMK,S,64122,L,229252,228277
46,GUDIYATTAM,K.asha,PT,U,383,FD,229252,228277
46,GUDIYATTAM,K.sindu,TVK,U,82858,W,229252,228277
46,GUDIYATTAM,K.thabithal,AIPTMMK,U,351,FD,229252,228277
46,GUDIYATTAM,M.sumathi,IND,IND,157,FD,229252,228277
47,VANIYAMBADI,Sundarammal,MKARSKTC,U,544,FD,212624,211910
48,AMBUR,Afshia Nasrin. S,NTK,S,4185,FD,195785,195116
48,AMBUR,Sasi Reka. Y,MKARSKTC,U,194,FD,195785,195116
49,JOLARPET,Kavithadhandapani,DMK,S,61977,L,213582,212347
49,JOLARPET,Sasirekha K,NTK,S,5974,FD,213582,212347
49,JOLARPET,Sasi Reka Y,MKARSKTC,U,270,FD,213582,212347
49,JOLARPET,Kavitha C,IND,IND,155,FD,213582,212347
49,JOLARPET,Kavitha T,IND,IND,76,FD,213582,212347
49,JOLARPET,Kamatchi S,IND,IND,128,FD,213582,212347
49,JOLARPET,Priya K,IND,IND,454,FD,213582,212347
50,TIRUPPATTUR,Anjali. M,IND,IND,115,FD,203263,202461
50,TIRUPPATTUR,Dr.poovalagi. P,IND,IND,139,FD,203263,202461
51,UTHANGARAI,Mekala,NTK,S,6629,FD,205745,204649
51,UTHANGARAI,Rameshwari,BHRTJNCKP,U,115,FD,205745,204649
51,UTHANGARAI,Vijiyal,AJPK,U,206,FD,205745,204649
52,BARGUR,Anitha Mayaperumal,IND,IND,143,FD,214129,213329
53,KRISHNAGIRI,Suganthi,NTK,S,6398,FD,231023,229045
53,KRISHNAGIRI,Mangammal,TMK,U,336,FD,231023,229045
53,KRISHNAGIRI,Muthulakshmi Veerappan,tavk,U,366,FD,231023,229045
57,PALACODU,Palaniyammal. M.,TMK,U,155,FD,225496,223965
58,PENNAGARAM,Palaniyammal. T.,NTK,S,7358,FD,228907,227992
58,PENNAGARAM,Tamilselvi. S.,IND,IND,263,FD,228907,227992
58,PENNAGARAM,Poomani. P.,IND,IND,533,FD,228907,227992
59,DHARMAPURI,Shanthalakshmi. K.,NTK,S,6758,FD,238742,237638
59,DHARMAPURI,Sivagami. G.,TMK,U,382,FD,238742,237638
59,DHARMAPURI,Sowmiya Anbumani,PMK,U,93713,W,238742,237638
60,PAPPIREDDIPATTI,Archana Tamilaruvi,NTK,S,5216,FD,237164,235944
60,PAPPIREDDIPATTI,Maragatham Vetrivel,ADMK,S,101829,W,237164,235944
60,PAPPIREDDIPATTI,Thilagavathi. S,TVK,U,57619,L,237164,235944
60,PAPPIREDDIPATTI,Jamunarani. M,NADLMMKLK,U,187,FD,237164,235944
61,HARUR,Anitha. A,NTK,S,5245,FD,220303,219260
61,HARUR,Karuthammal. S,NADLMMKLK,U,487,FD,220303,219260
61,HARUR,Manila. S,tavk,U,213,FD,220303,219260
62,CHENGAM,J.shoba,NTK,S,6335,FD,243703,241783
62,CHENGAM,C.malathi,tavk,U,84,FD,243703,241783
62,CHENGAM,A Poongodi,IND,IND,197,FD,243703,241783
63,TIRUVANNAMALAI,Malli. S,tavk,U,122,FD,220079,219281
63,TIRUVANNAMALAI,Maheswari. R,IND,IND,77,FD,220079,219281
65,KALASAPAKKAM,Seetha Sivanandam. P,NTK,S,5312,FD,214193,213704
65,KALASAPAKKAM,Sathya. V,NADLMMKLK,U,245,FD,214193,213704
66,POLUR,Umadevi. A,NTK,S,6425,FD,212247,210945
66,POLUR,Banupriya. D,RPPRINAT,U,869,FD,212247,210945
66,POLUR,Subha. A,IND,IND,425,FD,212247,210945
67,ARANI,Dhavamani. R,NTK,S,6888,FD,231139,229455
67,ARANI,Mahalakshmi Govarthanan,DMK,S,71104,L,231139,229455
67,ARANI,Jayasudha. L,ADMK,S,76735,W,231139,229455
67,ARANI,Ammu. V,IND,IND,104,FD,231139,229455
67,ARANI,Sudha. S,IND,IND,257,FD,231139,229455
67,ARANI,Mahalakshmi. G,IND,IND,359,FD,231139,229455
67,ARANI,Mahalakshmi. G,IND,IND,117,FD,231139,229455
67,ARANI,Jayanthi. E,IND,IND,60,FD,231139,229455
67,ARANI,Jayanthi. M,IND,IND,90,FD,231139,229455
69,VANDAVASI,Rani. P,ADMK,S,60472,L,191401,190216
69,VANDAVASI,Thamarai Selvi. S,tavk,U,252,FD,191401,190216
69,VANDAVASI,Rani. A,IND,IND,674,FD,191401,190216
71,MAILAM,Divya P,NIDP,U,26,FD,189376,188922
71,MAILAM,Ranjitha V,IND,IND,357,FD,189376,188922
73,VANUR,Radhika S,IND,IND,197,FD,192680,191600
74,VILUPPURAM,Abinaya Ponnivalavan,NTK,S,5786,FD,215891,214849
74,VILUPPURAM,Vijayasureshbabu,ADMK,S,63808,L,215891,214849
74,VILUPPURAM,Vijaya K,IND,IND,46,FD,215891,214849
74,VILUPPURAM,Vijaya D,IND,IND,100,FD,215891,214849
74,VILUPPURAM,Vijaya M,IND,IND,141,FD,215891,214849
74,VILUPPURAM,Vijaya M,IND,IND,93,FD,215891,214849
75,VIKRAVANDI,Subha Chandrasekaran A,NTK,S,4979,FD,209859,208830
75,VIKRAVANDI,Backiyalakshmi C,TK,U,141,FD,209859,208830
77,ULUNDURPETTAI,Logeshwari S,NTK,S,6525,FD,271103,269951
78,RISHIVANDIYAM,Radhika P,NTK,S,7247,FD,245006,244261
78,RISHIVANDIYAM,Sevvantha G K,AMM,U,322,FD,245006,244261
79,SANKARAPURAM,Sudha M,BSP,N,544,FD,235780,235145
79,SANKARAPURAM,Kavikuil V,IND,IND,97,FD,235780,235145
80,KALLAKURICHI,Nagammal Rajkodi,NTK,S,7494,FD,249689,248743
80,KALLAKURICHI,Malathi K,VCK,S,77666,L,249689,248743
80,KALLAKURICHI,Malathi K,IND,IND,179,FD,249689,248743
81,GANGAVALLI,Abirami. A,NTK,S,6242,FD,196881,195948
81,GANGAVALLI,Sujatha. V,TVK,U,55291,L,196881,195948
82,ATTUR,Sellammal. V.m.,BSP,N,412,FD,208562,207265
82,ATTUR,Monisha Chinnadurai.,NTK,S,6532,FD,208562,207265
82,ATTUR,Palaniyammal. S.,DMSK,U,215,FD,208562,207265
83,YERCAUD,Usharani. P,ADMK,S,87772,W,253743,252342
83,YERCAUD,Revathi. T.m,DMK,S,68045,L,253743,252342
83,YERCAUD,Lakshmi Janarthanan. J,TVK,U,85583,L,253743,252342
85,METTUR,Vidhya Veerappan,NTK,S,7109,FD,231663,230311
86,EDAPPADI,Priyadharshini. A,NTK,S,8450,FD,258490,256922
87,SANKARI,Nithya. A,NTK,S,7534,FD,244023,243068
89,SALEM (NORTH),Gunaseela. M,NTK,S,6450,FD,210877,209507
89,SALEM (NORTH),Jothilakshmi. R.s,VSHWTMLK,U,176,FD,210877,209507
89,SALEM (NORTH),Pravina. G,IND,IND,97,FD,210877,209507
90,SALEM (SOUTH),Sofia. S,NTK,S,5819,FD,208117,207157
90,SALEM (SOUTH),Sumathi. P,IND,IND,61,FD,208117,207157
91,VEERAPANDI,Kavitha. M.p,IND,IND,56,FD,236141,235281
92,RASIPURAM,Sasikala S,NTK,S,6415,FD,204902,203817
92,RASIPURAM,Thangamani S,IND,IND,147,FD,204902,203817
92,RASIPURAM,Jayanthi M,IND,IND,118,FD,204902,203817
93,SENTHAMANGALAM,P Poomalar,DMK,S,64951,L,209816,208476
93,SENTHAMANGALAM,Ponnumani C,NTK,S,6478,FD,209816,208476
94,NAMAKKAL,Rani P,DMK,S,52808,L,212395,211523
94,NAMAKKAL,Chandra P,IND,IND,322,FD,212395,211523
