ac_number,ac_name,candidate,party,party_type,votes,status,total_votes,valid_votes
186,SIVAGANGA,Indhuja R,NTK,S,19021,FD,214716,213014
186,SIVAGANGA,Kulanthai Rani A,TVK,U,73737,W,214716,213014
187,MANAMADURAI,Shanmugapriya.m,NTK,S,19676,FD,209091,207797
187,MANAMADURAI,Tamilarasi.a,DMK,S,68763,L,209091,207797
188,MELUR,Soniagandhi,AIPTMMK,U,2628,FD,190822,190172
190,SHOLAVANDAN,Nagalakshmi Thirumaran.t,NTK,S,10430,FD,189224,188509
192,MADURAI SOUTH,B.m.sumathy,NTK,S,5863,FD,141598,140891
192,MADURAI SOUTH,K.jeya,IND,IND,257,FD,141598,140891
195,THIRUPARANKUNDRAM,Kiruthiga Thangapandi,DMK,S,72763,L,255946,254318
195,THIRUPARANKUNDRAM,Sathyadevi. T.,NTK,S,14350,FD,255946,254318
195,THIRUPARANKUNDRAM,Mookkayee. C.,ETMK,U,249,FD,255946,254318
196,THIRUMANGALAM,Kalaiselvi.r,AIDMMK,U,283,FD,231544,230047
196,THIRUMANGALAM,Jeevitha Nachiyar.b,AIPTMMK,U,2851,FD,231544,230047
197,USILAMPATTI,Abirami. D,NTK,S,15185,FD,224679,223356
197,USILAMPATTI,Kiranya. S,IND,IND,262,FD,224679,223356
197,USILAMPATTI,Praveena. S,IND,IND,343,FD,224679,223356
198,ANDIPATTI,Esakkiammal.m,BSP,N,420,FD,217699,216301
198,ANDIPATTI,Gomathi .m,NTK,S,10346,FD,217699,216301
199,PERIYAKULAM,Vimala R.,NTK,S,9610,FD,211514,209703
199,PERIYAKULAM,Abitha M.,IND,IND,390,FD,211514,209703
200,BODINAYAKANUR,Nagananthini.v,IND,IND,526,FD,221116,219697
201,CUMBUM,Anbuselvi A,NTK,S,9599,FD,211077,209907
202,RAJAPALAYAM,Priscilla Pandian. J,BJP,N,36318,L,183212,182267
202,RAJAPALAYAM,Nasrin Banu. T,RPPRINAT,U,1240,FD,183212,182267
202,RAJAPALAYAM,Ramadevi. T,PT,U,2544,FD,183212,182267
202,RAJAPALAYAM,Jegadeshwari. K,TVK,U,65548,W,183212,182267
202,RAJAPALAYAM,Selvi. K,IND,IND,298,FD,183212,182267
202,RAJAPALAYAM,Muthulakshmi. R,IND,IND,351,FD,183212,182267
202,RAJAPALAYAM,Jegathishwari. N,IND,IND,292,FD,183212,182267
203,SRIVILLIPUTHUR,Chandraprabha.m,ADMK,S,42839,L,193627,192598
203,SRIVILLIPUTHUR,Chandra.m,AIPTMMK,U,1726,FD,193627,192598
203,SRIVILLIPUTHUR,Devialakshmi Saranya.k,IND,IND,509,FD,193627,192598
203,SRIVILLIPUTHUR,Pandiyammal.m,IND,IND,340,FD,193627,192598
204,SATTUR,Narmada Nandhakumar,IND,IND,88,FD,199038,198258
205,SIVAKASI,Esther Mary Diana A,NTK,S,10191,FD,193594,192569
205,SIVAKASI,Keerthana S,TVK,U,68709,W,193594,192569
205,SIVAKASI,Nagalakshmi V,IND,IND,205,FD,193594,192569
208,TIRUCHULI,Jeyachitra,IND,IND,88,FD,181638,180825
209,PARAMAKUDI,Ezhil Elavarasi. R,NTK,S,15363,FD,190014,189043
209,PARAMAKUDI,Amirtha. M,AIPTMMK,U,2239,FD,190014,189043
210,TIRUVADANAI,M.keerthika,ADMK,S,63879,L,220448,219924
212,MUDHUKULATHUR,Chandra Prabha Jeyapal,NTK,S,15112,FD,231373,230944
212,MUDHUKULATHUR,Malarvizhi. B,TVK,U,51405,L,231373,230944
213,VILATHIKULAM,R. Sathya,ADMK,S,48879,L,175030,174172
214,THOOTHUKKUDI,P. Geetha Jeevan,DMK,S,62805,L,204992,203859
215,TIRUCHENDUR,Ophiliya,NTK,S,9794,FD,186322,185328
215,TIRUCHENDUR,Packia Sam. T,NIDP,U,97,FD,186322,185328
217,OTTAPIDARAM,M. Anusiya,NTK,S,17279,FD,196554,195238
217,OTTAPIDARAM,C. Aruna Devi,NNNMNEK,U,761,FD,196554,195238
217,OTTAPIDARAM,Subbulakshmi. S,NIDP,U,230,FD,196554,195238
218,KOVILPATTI,Pandimuneeswari.k,IND,IND,367,FD,194497,193639
219,SANKARANKOVIL,M. Kavitha,NTK,S,12767,FD,197670,195920
219,SANKARANKOVIL,Vasanthi Murugesan,AIPTMMK,U,8006,FD,197670,195920
220,VASUDEVANALLUR,R. Amutharani,TVK,U,45862,L,190256,189158
220,VASUDEVANALLUR,A. Ponnuthai,AIPTMMK,U,2249,FD,190256,189158
220,VASUDEVANALLUR,B. Veeralakshmi,TMNK,U,183,FD,190256,189158
220,VASUDEVANALLUR,P. Karpagavalli,IND,IND,486,FD,190256,189158
221,KADAYANALLUR,Kavitha. R,PT,U,2882,FD,222360,221424
221,KADAYANALLUR,Shahin Fathima. A,tavk,U,356,FD,222360,221424
221,KADAYANALLUR,Lakshmi. A,SAP,U,179,FD,222360,221424
221,KADAYANALLUR,Barisha Banu. M,IND,IND,467,FD,222360,221424
222,TENKASI,P. Pushpalatha,NTK,S,16394,FD,235213,234314
223,ALANGULAM,Jeyanthi,IND,IND,432,FD,221103,219875
224,TIRUNELVELI,Sathya. B.,NTK,S,15108,FD,219060,217708
224,TIRUNELVELI,Eswara Vadivu. S.,NIDP,U,114,FD,219060,217708
227,NANGUNERI,Tamilselvi,PT,U,11141,FD,209548,208698
227,NANGUNERI,M. Aruna,IND,IND,251,FD,209548,208698
227,NANGUNERI,R.ananthi,IND,IND,169,FD,209548,208698
227,NANGUNERI,Thanithangam,IND,IND,441,FD,209548,208698
227,NANGUNERI,A.rani Nadar Alias Pushparani,IND,IND,529,FD,209548,208698
228,RADHAPURAM,Essakkiammal.e,BSP,N,331,FD,200446,199462
228,RADHAPURAM,Girija Thamaraipandian.d,NTK,S,15370,FD,200446,199462
228,RADHAPURAM,Mahalakshmi,PMTDK,U,103,FD,200446,199462
228,RADHAPURAM,Ananthi.r,IND,IND,76,FD,200446,199462
229,KANNIYAKUMARI,Maria Jennifer,NTK,S,13689,FD,239978,238325
230,NAGERCOIL,Vallimayil P,CPIM,U,145,FD,196545,195833
231,COLACHAL,Ancy Shoba Rani. L,NTK,S,12458,FD,199711,198432
231,COLACHAL,Tharahai Cuthbert,INC,N,66207,W,199711,198432
232,PADMANABHAPURAM,Vasanthi. R,IND,IND,453,FD,181647,179940
233,VILAVANCODE,Maria Stella,NTK,S,6199,FD,175453,174099
233,VILAVANCODE,Vijayadharani S,BJP,N,45604,L,175453,174099
,,,,,,,,
,,,,,,,,
Disclaimer,,,,,,,,
"This report is based on Index Cards data made available by concerned Returning Officers on the basis of Statutory data maintained in the forms. In case of any dispute, the data maintained in the Statutory Forms by the concerned Returning Officers shall prevail.",,,,,,,,
