ac_number,male_electors_26,female_electors_26,tg_electors_26,total_electors_26,male_voters_26,female_voters_26,tg_voters_26,total_voters_26,turnout_26
112,121271,132093,8,253372,110866,118593,4,231948,91.54
113,155095,160643,125,315863,129098,132934,71,263576,83.45
114,96204,100876,24,197104,87974,90722,11,179929,91.29
115,159580,170265,30,329875,146214,152600,9,301323,91.34
116,147942,159656,101,307699,130715,140783,84,273735,88.96
117,205276,216849,115,422240,174232,186725,70,364242,86.26
118,145895,151070,29,296994,109023,115245,10,226267,76.19
119,141685,151588,106,293379,123695,132967,61,258823,88.22
120,91334,97546,32,188912,74754,80355,18,156709,82.95
121,130577,139396,24,269997,105707,113164,10,221138,81.9
122,147104,158779,36,305919,127850,138540,16,268432,87.75
123,97029,106944,35,204008,86642,93044,16,181360,88.9
124,82150,91488,21,173659,71045,78196,19,150529,86.68
125,110206,120776,27,231009,96904,104889,11,203937,88.28
126,103272,111549,16,214837,89715,96785,3,188375,87.68
127,116943,122888,50,239881,101441,105311,32,208707,87
128,105658,114603,2,220263,95647,104242,1,201705,91.57
129,126424,135888,17,262329,111882,122225,7,237388,90.49
130,108759,112792,14,221565,95252,100383,1,197805,89.28
131,128463,132861,69,261393,115125,122462,36,239317,91.55
132,116968,125138,20,242126,100907,107960,8,212118,87.61
133,119371,124624,3,243998,108744,115889,1,226683,92.9
134,93193,102343,2,195538,84690,94726,2,181165,92.65
135,108303,121724,41,230068,100263,114546,40,217276,94.44
136,98730,104329,31,203090,90581,97082,30,189634,93.37
137,109083,114286,7,223376,100575,106521,3,209285,93.69
138,132297,135860,8,268165,116665,121332,5,241445,90.04
139,139304,147863,47,287214,121843,130452,32,255329,88.9
140,114480,124465,35,238980,91994,102073,22,196420,82.19
141,106303,113883,54,220240,86806,93209,36,182730,82.97
142,125997,133650,54,259701,100900,109814,29,213792,82.32
143,102852,109523,28,212403,86434,96945,21,185524,87.35
144,114439,122155,38,236632,99055,108270,26,209935,88.72
145,104395,109736,15,214146,89841,95680,11,189230,88.36
146,101958,108764,31,210753,86155,96129,20,184621,87.6
