ac_number,male_electors_21,female_electors_21,tg_electors_21,total_electors_21,male_voters_21,female_voters_21,tg_voters_21,total_voters_21,turnout_21
112,136241,144313,6,280560,105249,105678,1,212965,75.91
113,193019,186020,100,379139,122515,114552,40,238100,62.8
114,139880,136570,33,276483,84414,89068,3,174536,63.13
115,194245,195473,68,389786,132356,127559,6,261609,67.12
116,155120,162077,26,317223,118881,120769,10,242010,76.29
117,232251,232998,96,465345,154314,153325,34,310889,66.81
118,170519,168155,38,338712,101883,98762,3,202860,59.89
119,161958,164789,81,326828,114017,115391,37,231868,70.94
120,126195,126571,24,252790,77545,75832,6,155776,61.62
121,161632,163631,26,325289,102176,99842,3,204791,62.96
122,160560,166318,42,326920,114445,116262,10,232676,71.17
123,108895,118160,38,227093,86857,88734,5,177358,78.1
124,98718,106795,17,205530,70769,73144,4,145259,70.68
125,130305,139433,22,269760,94816,97248,0,194657,72.16
126,121815,126665,21,248501,89220,90883,1,181913,73.2
127,135673,141590,35,277298,101858,101230,2,205501,74.11
128,117285,123924,31,241240,97896,102386,1,201838,83.67
129,140779,151150,26,291955,110761,117051,1,230266,78.87
130,120206,124319,9,244534,90884,92421,0,185793,75.98
131,138507,144977,47,283531,109892,113860,3,225575,79.56
132,134708,142057,55,276820,94602,96746,7,195466,70.61
133,129061,134500,0,263561,103628,107436,0,213237,80.91
134,102283,111678,8,213969,83510,91757,0,177565,82.99
135,116369,128968,19,245356,97344,107618,11,207781,84.69
136,103975,109038,43,213056,87775,91417,2,181210,85.05
137,110804,116465,10,227279,95955,99682,1,198208,87.21
138,141942,147761,10,289713,108741,111168,1,223006,76.97
139,150588,161100,28,311716,116460,120750,15,240423,77.13
140,129826,139351,17,269194,88402,91947,3,183222,68.06
141,123857,131150,44,255051,84809,85674,9,173113,67.87
142,143977,149163,56,293196,96136,98952,24,197666,67.42
143,105741,112375,15,218131,83351,89235,3,174923,80.19
144,118150,126021,31,244202,94167,100169,2,196860,80.61
145,113467,119166,21,232654,86392,90373,6,179845,77.3
146,109479,116658,15,226152,82733,90518,2,175977,77.81
147,147500,155236,22,302758,111012,125692,4,240481,79.43
148,135160,138353,13,273526,101553,117361,1,221232,80.88
149,131871,133093,7,264971,108951,114858,0,225792,85.21
150,132138,134600,3,266741,103915,110099,2,216776,81.27
151,107536,111876,3,219415,77359,89464,1,168350,76.73
152,125867,127012,32,252911,94797,99927,15,197121,77.94
153,109315,109332,19,218666,81898,80527,3,164458,75.21
154,119529,125966,35,245530,95601,99853,25,197544,80.46
155,115147,124258,69,239474,85715,92937,37,182392,76.16
156,119970,123273,26,243269,97470,100345,5,199795,82.13
157,123448,125154,27,248629,97026,98193,7,197418,79.4
158,123019,128060,21,251100,87845,92708,1,183730,73.17
159,114480,114658,16,229154,85058,88454,3,175657,76.65
160,124306,128303,12,252621,92098,97279,5,191416,75.77
161,121687,124362,15,246064,85193,87336,0,174769,71.03
162,136002,139894,7,275903,100602,106820,0,209052,75.77
163,95878,102072,10,197960,68207,74222,3,143667,72.57
164,87387,91374,3,178764,69543,72381,0,143373,80.2
